reading_datetime,name,site_type,reading_value
5/4/16 11:00 AM,Orwell Bay,MUSSEL,6.813
5/4/16 12:00 PM,Orwell Bay,MUSSEL,5.924
5/4/16 1:00 PM,Orwell Bay,MUSSEL,6.051
5/4/16 2:00 PM,Orwell Bay,MUSSEL,6.331
5/4/16 3:00 PM,Orwell Bay,MUSSEL,6.382
5/4/16 4:00 PM,Orwell Bay,MUSSEL,6.331
5/4/16 5:00 PM,Orwell Bay,MUSSEL,6.585
5/4/16 6:00 PM,Orwell Bay,MUSSEL,6.661
5/4/16 7:00 PM,Orwell Bay,MUSSEL,6.255
5/4/16 8:00 PM,Orwell Bay,MUSSEL,6.458
5/4/16 9:00 PM,Orwell Bay,MUSSEL,6.331
5/4/16 10:00 PM,Orwell Bay,MUSSEL,6.128
5/4/16 11:00 PM,Orwell Bay,MUSSEL,5.872
5/5/16 12:00 AM,Orwell Bay,MUSSEL,6
5/5/16 1:00 AM,Orwell Bay,MUSSEL,6
5/5/16 2:00 AM,Orwell Bay,MUSSEL,6.051
5/5/16 3:00 AM,Orwell Bay,MUSSEL,5.898
5/5/16 4:00 AM,Orwell Bay,MUSSEL,6.102
5/5/16 5:00 AM,Orwell Bay,MUSSEL,5.693
5/5/16 6:00 AM,Orwell Bay,MUSSEL,5.821
5/5/16 7:00 AM,Orwell Bay,MUSSEL,5.745
5/5/16 8:00 AM,Orwell Bay,MUSSEL,5.668
5/5/16 9:00 AM,Orwell Bay,MUSSEL,5.693
5/5/16 10:00 AM,Orwell Bay,MUSSEL,5.719
5/5/16 11:00 AM,Orwell Bay,MUSSEL,5.539
5/5/16 12:00 PM,Orwell Bay,MUSSEL,5.565
5/5/16 1:00 PM,Orwell Bay,MUSSEL,5.231
5/5/16 2:00 PM,Orwell Bay,MUSSEL,4.973
5/5/16 3:00 PM,Orwell Bay,MUSSEL,4.947
5/5/16 4:00 PM,Orwell Bay,MUSSEL,4.999
5/5/16 5:00 PM,Orwell Bay,MUSSEL,5.179
5/5/16 6:00 PM,Orwell Bay,MUSSEL,5.205
5/5/16 7:00 PM,Orwell Bay,MUSSEL,5.102
5/5/16 8:00 PM,Orwell Bay,MUSSEL,4.818
5/5/16 9:00 PM,Orwell Bay,MUSSEL,4.895
5/5/16 10:00 PM,Orwell Bay,MUSSEL,4.921
5/5/16 11:00 PM,Orwell Bay,MUSSEL,4.973
5/6/16 12:00 AM,Orwell Bay,MUSSEL,4.895
5/6/16 1:00 AM,Orwell Bay,MUSSEL,4.869
5/6/16 2:00 AM,Orwell Bay,MUSSEL,4.844
5/6/16 3:00 AM,Orwell Bay,MUSSEL,4.947
5/6/16 4:00 AM,Orwell Bay,MUSSEL,4.74
5/6/16 5:00 AM,Orwell Bay,MUSSEL,4.869
5/6/16 6:00 AM,Orwell Bay,MUSSEL,4.818
5/6/16 7:00 AM,Orwell Bay,MUSSEL,4.844
5/6/16 8:00 AM,Orwell Bay,MUSSEL,4.74
5/6/16 9:00 AM,Orwell Bay,MUSSEL,4.844
5/6/16 10:00 AM,Orwell Bay,MUSSEL,4.844
5/6/16 11:00 AM,Orwell Bay,MUSSEL,4.584
5/6/16 12:00 PM,Orwell Bay,MUSSEL,4.636
5/6/16 1:00 PM,Orwell Bay,MUSSEL,4.584
5/6/16 2:00 PM,Orwell Bay,MUSSEL,4.766
5/6/16 3:00 PM,Orwell Bay,MUSSEL,5.154
5/6/16 4:00 PM,Orwell Bay,MUSSEL,4.792
5/6/16 5:00 PM,Orwell Bay,MUSSEL,4.818
5/6/16 6:00 PM,Orwell Bay,MUSSEL,4.869
5/6/16 7:00 PM,Orwell Bay,MUSSEL,4.792
5/6/16 8:00 PM,Orwell Bay,MUSSEL,4.792
5/6/16 9:00 PM,Orwell Bay,MUSSEL,4.688
5/6/16 10:00 PM,Orwell Bay,MUSSEL,4.688
5/6/16 11:00 PM,Orwell Bay,MUSSEL,4.688
5/7/16 12:00 AM,Orwell Bay,MUSSEL,4.688
5/7/16 1:00 AM,Orwell Bay,MUSSEL,4.792
5/7/16 2:00 AM,Orwell Bay,MUSSEL,4.844
