VMV Code,Value Flag,Value,Lab Analysis Date,Station ID,Sample Date,Year-Month-Day,Sample Type Code,Watershed,Water Type,Station Description,Units,Variable Name,Variable Group,Method Description,Latitude,Longitude,Georeference
27,,20.2,11/19/2010 12:00:00 AM,ORB 35,07/28/2010 12:00:00 AM,2010-07-28,1,Orwell Bay,MW,Orwell Bay - 500 m SE of Penn Pt,(°C),Temperature,physicals,field multi meter,46.1257,-62.9055,POINT (-62.9055 46.1257)
27,,21.3,11/24/2010 12:00:00 AM,ORB 33,07/28/2010 12:00:00 AM,2010-07-28,1,Orwell Bay,MW,Vernon R Estuary - 200 m downstream Rt 1 bridge,(°C),Temperature,physicals,field multi meter,46.1726,-62.8805,POINT (-62.8805 46.1726)
27,,21.6,11/24/2010 12:00:00 AM,ORB 32,07/28/2010 12:00:00 AM,2010-07-28,1,Orwell Bay,MW,Vernon R Estuary 1.8 km above Vernon Bridge,(°C),Temperature,physicals,field multi meter,46.1868,-62.8657,POINT (-62.8657 46.1868)
27,,20.7,11/24/2010 12:00:00 AM,ORB 33B,07/28/2010 12:00:00 AM,2010-07-28,1,Orwell Bay,MW,Vernon R Estuary - 200 m downstream Rt 1 bridge,(°C),Temperature,physicals,field multi meter,46.1726,-62.8805,POINT (-62.8805 46.1726)
27,,20.7,11/24/2010 12:00:00 AM,ORB 34,07/28/2010 12:00:00 AM,2010-07-28,1,Orwell Bay,MW,Vernon R Estuary - 400 m NW of Davies Pt,(°C),Temperature,physicals,field multi meter,46.1512,-62.892,POINT (-62.892 46.1512)
27,,20.1,11/19/2010 12:00:00 AM,ORB 35B,07/28/2010 12:00:00 AM,2010-07-28,1,Orwell Bay,MW,Orwell Bay - 500 m SE of Penn Pt,(°C),Temperature,physicals,field multi meter,46.1257,-62.9055,POINT (-62.9055 46.1257)
27,,21.7,11/19/2010 12:00:00 AM,ORB 32B,07/28/2010 12:00:00 AM,2010-07-28,1,Orwell Bay,MW,Vernon R Estuary 1.8 km above Vernon Bridge,(°C),Temperature,physicals,field multi meter,46.1868,-62.8657,POINT (-62.8657 46.1868)
27,,20.1,07/20/2012 12:00:00 AM,ORB 34B,07/28/2010 12:00:00 AM,2010-07-28,1,Orwell Bay,MW,Vernon R Estuary - 400 m NW of Davies Pt,(°C),Temperature,physicals,field multi meter,46.1512,-62.892,POINT (-62.892 46.1512)
27,,19.2,05/15/2012 03:17:55 PM,ORB 35B,08/01/2011 12:00:00 AM,2011-08-01,2,Orwell Bay,MW,Orwell Bay - 500 m SE of Penn Pt,(°C),Temperature,physicals,field multi meter,46.1257,-62.9055,POINT (-62.9055 46.1257)
27,,25.4,03/08/2021 10:00:42 AM,ORB 34,08/02/2018 12:00:00 AM,2018-08-02,2,Orwell Bay,MW,Vernon R Estuary - 400 m NW of Davies Pt,(°C),Temperature,physicals,field multi meter,46.1512,-62.892,POINT (-62.892 46.1512)
27,,18.8,,ORB 32,07/31/1986 12:00:00 AM,1986-07-31,1,Orwell Bay,MW,Vernon R Estuary 1.8 km above Vernon Bridge,(°C),Temperature,physicals,field multi meter,46.1868,-62.8657,POINT (-62.8657 46.1868)
27,,21.8,03/17/2014 10:08:14 AM,ORB 34B,07/31/2013 12:00:00 AM,2013-07-31,2,Orwell Bay,MW,Vernon R Estuary - 400 m NW of Davies Pt,(°C),Temperature,physicals,field multi meter,46.1512,-62.892,POINT (-62.892 46.1512)
27,,21.8,08/15/2006 01:09:02 PM,ORB 33B,08/04/2006 12:00:00 AM,2006-08-04,1,Orwell Bay,MW,Vernon R Estuary - 200 m downstream Rt 1 bridge,(°C),Temperature,physicals,field multi meter,46.1726,-62.8805,POINT (-62.8805 46.1726)
27,,22.9,05/07/2015 09:26:00 AM,ORB 35B,07/29/2014 12:00:00 AM,2014-07-29,2,Orwell Bay,MW,Orwell Bay - 500 m SE of Penn Pt,(°C),Temperature,physicals,field multi meter,46.1257,-62.9055,POINT (-62.9055 46.1257)
27,,19.5,,ORB 32B,06/20/1986 12:00:00 AM,1986-06-20,1,Orwell Bay,MW,Vernon R Estuary 1.8 km above Vernon Bridge,(°C),Temperature,physicals,field multi meter,46.1868,-62.8657,POINT (-62.8657 46.1868)
27,,16.8,,ORB 32B,05/30/1986 12:00:00 AM,1986-05-30,1,Orwell Bay,MW,Vernon R Estuary 1.8 km above Vernon Bridge,(°C),Temperature,physicals,field multi meter,46.1868,-62.8657,POINT (-62.8657 46.1868)
27,,20.7,06/04/2012 08:30:44 AM,ORB 33B,07/28/2010 12:00:00 AM,2010-07-28,2,Orwell Bay,MW,Vernon R Estuary - 200 m downstream Rt 1 bridge,(°C),Temperature,physicals,field multi meter,46.1726,-62.8805,POINT (-62.8805 46.1726)
27,,21.5,03/17/2014 10:08:42 AM,ORB 35B,07/31/2013 12:00:00 AM,2013-07-31,2,Orwell Bay,MW,Orwell Bay - 500 m SE of Penn Pt,(°C),Temperature,physicals,field multi meter,46.1257,-62.9055,POINT (-62.9055 46.1257)
