Date Time,Site,variable,mean
6/26/23 11:00,ASHC,Actual Conductivity,37815.69
6/26/23 11:00,ASHC,Salinity,25.30007
6/26/23 11:00,ASHC,Resistivity,26.44405
6/26/23 11:00,ASHC,Total Dissolved Solids,25.46407
6/26/23 11:00,ASHC,RDO Concentration,7.906981
6/26/23 11:00,ASHC,RDO Saturation,107.7487
6/26/23 11:00,ASHC,Oxygen Partial Pressure,149.0861
6/26/23 11:00,ASHC,Chlorophyll-a Fluorescence,0.00722093
6/26/23 11:00,ASHC,pH,7.016265
6/26/23 11:00,ASHC,pH mV,0.1096725
6/26/23 11:00,ASHC,Temperature,23.1827
6/26/23 14:00,ASHC,Actual Conductivity,37961.08667
6/26/23 14:00,ASHC,Salinity,25.64411
6/26/23 14:00,ASHC,Resistivity,26.34296333
6/26/23 14:00,ASHC,Total Dissolved Solids,25.78509333
6/26/23 14:00,ASHC,RDO Concentration,9.179606667
6/26/23 14:00,ASHC,RDO Saturation,124.3617
6/26/23 14:00,ASHC,Oxygen Partial Pressure,172.2030667
6/26/23 14:00,ASHC,Chlorophyll-a Fluorescence,0.919543233
6/26/23 14:00,ASHC,pH,8.003584667
6/26/23 14:00,ASHC,pH mV,-57.85862667
6/26/23 14:00,ASHC,Temperature,22.74546333
6/26/23 15:00,ASHC,Actual Conductivity,38226.705
6/26/23 15:00,ASHC,Salinity,25.94882
6/26/23 15:00,ASHC,Resistivity,26.15988333
6/26/23 15:00,ASHC,Total Dissolved Solids,26.06526833
6/26/23 15:00,ASHC,RDO Concentration,9.4804155
6/26/23 15:00,ASHC,RDO Saturation,128.2210333
6/26/23 15:00,ASHC,Oxygen Partial Pressure,177.60495
6/26/23 15:00,ASHC,Chlorophyll-a Fluorescence,1.262172
6/26/23 15:00,ASHC,pH,8.048701667
6/26/23 15:00,ASHC,pH mV,-60.46811667
6/26/23 15:00,ASHC,Temperature,22.55430833
6/26/23 16:00,ASHC,Actual Conductivity,38438.92667
6/26/23 16:00,ASHC,Salinity,26.26021167
6/26/23 16:00,ASHC,Resistivity,26.01534333
6/26/23 16:00,ASHC,Total Dissolved Solids,26.353175
6/26/23 16:00,ASHC,RDO Concentration,9.668416833
6/26/23 16:00,ASHC,RDO Saturation,130.36075
6/26/23 16:00,ASHC,Oxygen Partial Pressure,180.65135
6/26/23 16:00,ASHC,Chlorophyll-a Fluorescence,1.568254333
6/26/23 16:00,ASHC,pH,8.086390167
6/26/23 16:00,ASHC,pH mV,-62.62223167
6/26/23 16:00,ASHC,Temperature,22.28242333
6/26/23 17:00,ASHC,Actual Conductivity,38512.22
6/26/23 17:00,ASHC,Salinity,26.28003667
6/26/23 17:00,ASHC,Resistivity,25.96578667
6/26/23 17:00,ASHC,Total Dissolved Solids,26.36959333
6/26/23 17:00,ASHC,RDO Concentration,9.5899345
6/26/23 17:00,ASHC,RDO Saturation,129.4659667
6/26/23 17:00,ASHC,Oxygen Partial Pressure,179.3923167
6/26/23 17:00,ASHC,Chlorophyll-a Fluorescence,1.903574833
6/26/23 17:00,ASHC,pH,8.080711333
6/26/23 17:00,ASHC,pH mV,-62.30274833
6/26/23 17:00,ASHC,Temperature,22.34612167
6/26/23 18:00,ASHC,Actual Conductivity,38526.97
6/26/23 18:00,ASHC,Salinity,26.28541
6/26/23 18:00,ASHC,Resistivity,25.955845
6/26/23 18:00,ASHC,Total Dissolved Solids,26.37420667
6/26/23 18:00,ASHC,RDO Concentration,9.305319667
6/26/23 18:00,ASHC,RDO Saturation,125.6513833
6/26/23 18:00,ASHC,Oxygen Partial Pressure,174.1036333
6/26/23 18:00,ASHC,Chlorophyll-a Fluorescence,2.096010667
6/26/23 18:00,ASHC,pH,8.062546333
6/26/23 18:00,ASHC,pH mV,-61.2398
