"agency","site","salinity","X_BOTTOM_90860_00000","X_BOTTOM_90860_00000_cd","temp","X_BOTTOM_00010_00000","X_BOTTOM_00010_00000_cd","datetime"
"USGS","01208837",26,NA,NA,13.3,NA,NA,2020-06-05 16:45:00
"USGS","01208837",25,NA,NA,13.3,NA,NA,2020-06-05 17:00:00
"USGS","01208837",25,NA,NA,13.2,NA,NA,2020-06-05 17:15:00
"USGS","01208837",25,NA,NA,13.3,NA,NA,2020-06-05 17:30:00
"USGS","01208837",25,NA,NA,13.2,NA,NA,2020-06-05 17:45:00
"USGS","01208837",25,NA,NA,13.2,NA,NA,2020-06-05 18:00:00
"USGS","01208837",25,NA,NA,13.2,NA,NA,2020-06-05 18:15:00
"USGS","01208837",25,NA,NA,13.3,NA,NA,2020-06-05 18:30:00
"USGS","01208837",24,NA,NA,13.7,NA,NA,2020-06-05 18:45:00
"USGS","01208837",23,NA,NA,14.1,NA,NA,2020-06-05 19:00:00
"USGS","01208837",21,NA,NA,15,NA,NA,2020-06-05 19:15:00
"USGS","01208837",19,NA,NA,15.5,NA,NA,2020-06-05 19:30:00
"USGS","01208837",18,NA,NA,16,NA,NA,2020-06-05 19:45:00
"USGS","01208837",17,NA,NA,16.4,NA,NA,2020-06-05 20:00:00
"USGS","01208837",15,NA,NA,16.9,NA,NA,2020-06-05 20:15:00
"USGS","01208837",13,NA,NA,17.4,NA,NA,2020-06-05 20:30:00
"USGS","01208837",12,NA,NA,17.7,NA,NA,2020-06-05 20:45:00
"USGS","01208837",11,NA,NA,17.9,NA,NA,2020-06-05 21:00:00
"USGS","01208837",9.8,NA,NA,18.1,NA,NA,2020-06-05 21:15:00
"USGS","01208837",8.5,NA,NA,18.4,NA,NA,2020-06-05 21:30:00
"USGS","01208837",7.4,NA,NA,18.7,NA,NA,2020-06-05 21:45:00
"USGS","01208837",6.5,NA,NA,18.9,NA,NA,2020-06-05 22:00:00
"USGS","01208837",5.8,NA,NA,19,NA,NA,2020-06-05 22:15:00
"USGS","01208837",5.2,NA,NA,19.2,NA,NA,2020-06-05 22:30:00
"USGS","01208837",4.9,NA,NA,19.2,NA,NA,2020-06-05 22:45:00
"USGS","01208837",4.4,NA,NA,19.3,NA,NA,2020-06-05 23:00:00
"USGS","01208837",4.4,NA,NA,19.3,NA,NA,2020-06-05 23:15:00
"USGS","01208837",5.2,NA,NA,19.1,NA,NA,2020-06-05 23:30:00
"USGS","01208837",6.4,NA,NA,18.9,NA,NA,2020-06-05 23:45:00
"USGS","01208837",6.3,NA,NA,18.9,NA,NA,2020-06-06 00:00:00
"USGS","01208837",8,NA,NA,18.5,NA,NA,2020-06-06 00:15:00
"USGS","01208837",9.5,NA,NA,18.2,NA,NA,2020-06-06 00:30:00
"USGS","01208837",11,NA,NA,17.9,NA,NA,2020-06-06 00:45:00
"USGS","01208837",13,NA,NA,17.2,NA,NA,2020-06-06 01:00:00
"USGS","01208837",20,NA,NA,14.9,NA,NA,2020-06-06 01:15:00
"USGS","01208837",22,NA,NA,14.2,NA,NA,2020-06-06 01:30:00
"USGS","01208837",23,NA,NA,13.6,NA,NA,2020-06-06 01:45:00
"USGS","01208837",24,NA,NA,13.3,NA,NA,2020-06-06 02:00:00
"USGS","01208837",24,NA,NA,13.1,NA,NA,2020-06-06 02:15:00
"USGS","01208837",24,NA,NA,13.1,NA,NA,2020-06-06 02:30:00
"USGS","01208837",25,NA,NA,13,NA,NA,2020-06-06 02:45:00
"USGS","01208837",25,NA,NA,12.8,NA,NA,2020-06-06 03:00:00
"USGS","01208837",25,NA,NA,12.8,NA,NA,2020-06-06 03:15:00
"USGS","01208837",25,NA,NA,12.8,NA,NA,2020-06-06 03:30:00
"USGS","01208837",25,NA,NA,12.8,NA,NA,2020-06-06 03:45:00
"USGS","01208837",25,NA,NA,12.8,NA,NA,2020-06-06 04:00:00
"USGS","01208837",25,NA,NA,12.8,NA,NA,2020-06-06 04:15:00
"USGS","01208837",25,NA,NA,12.9,NA,NA,2020-06-06 04:30:00
"USGS","01208837",25,NA,NA,12.9,NA,NA,2020-06-06 04:45:00
"USGS","01208837",25,NA,NA,12.9,NA,NA,2020-06-06 05:00:00
"USGS","01208837",25,NA,NA,12.9,NA,NA,2020-06-06 05:15:00
"USGS","01208837",25,NA,NA,12.8,NA,NA,2020-06-06 05:30:00
"USGS","01208837",25,NA,NA,12.8,NA,NA,2020-06-06 05:45:00
