,Date Time,Site,variable,mean
13,6/14/23 11:00,FENC,Salinity,19.53415667
24,6/14/23 12:00,FENC,Salinity,22.99002167
35,6/14/23 13:00,FENC,Salinity,23.79819333
46,6/14/23 14:00,FENC,Salinity,19.44264936
57,6/14/23 15:00,FENC,Salinity,22.30858333
68,6/14/23 16:00,FENC,Salinity,25.30678333
79,6/14/23 17:00,FENC,Salinity,29.03734
90,6/14/23 18:00,FENC,Salinity,29.25120333
101,6/14/23 19:00,FENC,Salinity,29.231335
112,6/14/23 20:00,FENC,Salinity,29.21749833
123,6/14/23 21:00,FENC,Salinity,29.21425
134,6/14/23 22:00,FENC,Salinity,29.21733167
145,6/14/23 23:00,FENC,Salinity,29.19741167
156,6/15/23 0:00,FENC,Salinity,28.47347667
167,6/15/23 1:00,FENC,Salinity,25.98434167
178,6/15/23 2:00,FENC,Salinity,24.99274667
189,6/15/23 3:00,FENC,Salinity,24.45248167
200,6/15/23 4:00,FENC,Salinity,23.73616167
211,6/15/23 5:00,FENC,Salinity,23.16456
222,6/15/23 6:00,FENC,Salinity,27.813175
233,6/15/23 7:00,FENC,Salinity,29.09809167
244,6/15/23 8:00,FENC,Salinity,29.13755833
255,6/15/23 9:00,FENC,Salinity,29.15372333
266,6/15/23 10:00,FENC,Salinity,29.17370333
277,6/15/23 11:00,FENC,Salinity,29.20580667
288,6/15/23 12:00,FENC,Salinity,29.03815333
299,6/15/23 13:00,FENC,Salinity,27.21419167
310,6/15/23 14:00,FENC,Salinity,24.33884833
321,6/15/23 15:00,FENC,Salinity,22.80260667
332,6/15/23 16:00,FENC,Salinity,22.37985167
343,6/15/23 17:00,FENC,Salinity,24.21114333
354,6/15/23 18:00,FENC,Salinity,29.22003
365,6/15/23 19:00,FENC,Salinity,29.20752833
376,6/15/23 20:00,FENC,Salinity,29.20044833
387,6/15/23 21:00,FENC,Salinity,29.17421333
398,6/15/23 22:00,FENC,Salinity,29.17901667
409,6/15/23 23:00,FENC,Salinity,29.19686667
420,6/16/23 0:00,FENC,Salinity,29.22596333
431,6/16/23 1:00,FENC,Salinity,28.24933833
442,6/16/23 2:00,FENC,Salinity,25.83584333
453,6/16/23 3:00,FENC,Salinity,25.17196333
464,6/16/23 4:00,FENC,Salinity,24.98458
475,6/16/23 5:00,FENC,Salinity,24.79156333
486,6/16/23 6:00,FENC,Salinity,24.690895
497,6/16/23 7:00,FENC,Salinity,29.050145
508,6/16/23 8:00,FENC,Salinity,29.21372
519,6/16/23 9:00,FENC,Salinity,29.241695
530,6/16/23 10:00,FENC,Salinity,29.24482167
541,6/16/23 11:00,FENC,Salinity,29.26020667
552,6/16/23 12:00,FENC,Salinity,29.39806167
563,6/16/23 13:00,FENC,Salinity,29.34594667
574,6/16/23 14:00,FENC,Salinity,28.02940667
585,6/16/23 15:00,FENC,Salinity,25.44708167
596,6/16/23 16:00,FENC,Salinity,24.20993
607,6/16/23 17:00,FENC,Salinity,23.38986167
618,6/16/23 18:00,FENC,Salinity,26.78178333
629,6/16/23 19:00,FENC,Salinity,29.09132667
640,6/16/23 20:00,FENC,Salinity,29.24746333
651,6/16/23 21:00,FENC,Salinity,29.26552667
