ID_SiteDate,Site_Order,State_Abbrev,Site_Key,Date,Collection_method,Depth_m,Latitude_manual,Longitude_manual,Dermo_Prevalence,MSX_Prevalence,Pea_crab,Polydora.active,Boring_sponge,Total_area_infected_num,dermo_prev_percent,msx_prev_percent,boringsponge_prev_percent,polydoraactive_prev_percent,intensity_msx,Cq_Mean_MSX,SQ_Mean_MSX,intensity_dermo,Cq_Mean_Dermo,SQ_Mean_Dermo,download_date_sal,source_description_sal,lat_sal,lon_sal,firstyear_sal,finalyear_sal,Mean_Annual_Salinity_ppt,Mean_max_Salinity_ppt,Mean_min_Salinity_ppt,Salinity_st_dev,Salinity_n,Salinity_years,salinity_quantile_10,salinity_quantile_90,collection_type_sal,download_date_temp,source_description_temp,lat_temp,lon_temp,firstyear_temp,finalyear_temp,Mean_Annual_Temperature_C,Mean_max_temperature_C,Mean_min_temperature_C,Temperature_st_dev,Temperature_n,Temperature_years,temp_quantile_10,temp_quantile_90,collection_type_temp
CB_TX_2022-6-9,2,TX,6e0ec406,6/9/22,subtidal_dredge,1.2,28.096,-97.174,0.6667,0,0,1,0.5,37.64384615,66.67,0,50,100,0.147058824,5.992941176,0,0.833333333,20.716,6.66666666666667e-07,7/7/23,NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ,28.0841,-97.2009,2007,2021,20.85778793,29.90625,6.34375,11.66413094,490047,16,5.9,36.7,continuous,7/7/23,NERR Centralized Data. Mission Aransas - Copano Bay West MARCWWQ,28.0841,-97.2009,2007,2021,23.10605003,32.61875,7.775,6.385486691,490047,16,13.8,30.5,continuous
TP_TX_2022-6-28,3,TX,a9442c32,6/28/22,subtidal_dredge,2.2,28.6936,-96.2233,0.6154,0,0,1,0.578947368,37.33384615,61.54,0,57.89473684,100,0.233333333,9.360666667,0,1.076923077,26.82538462,7.69230769230769e-07,8/14/23,USGS Water Data Tres Palacios Bay - 08162675,28.6865,-96.2398,2020,2022,20.0276684,28.33333333,7.666666667,7.678590578,46985,3,7,27,continuous,8/14/23,USGS Water Data Tres Palacios Bay - 08162675,28.6865,-96.2398,2020,2022,22.7038225,30.73333333,6.166666667,6.8796434,46985,3,13.2,30.9,continuous
GalBay_TX_2022-6-2,4,TX,b8109736,6/2/22,subtidal_dredge,2.35,29.5475,-94.90361,0.5385,0,0,1,0,32.94923077,53.85,0,0,100,0.066666667,5.012,0,0.5,18.06769231,0,8/14/23,USGS Water Data Galveston Bay - 08067303,29.6703,-94.8536,2020,2022,11.88196063,20,3.666666667,5.231486863,52330,3,1,17,continuous,8/14/23,USGS Water Data Galveston Bay - 08067303,29.6703,-94.8536,2020,2022,20.60186127,29.16666667,7.4,6.700543994,52330,3,12.2,30,continuous
SaLa_GA_2022-10-5,5,LA,ac30f455,10/5/22,subtidal_dredge,2.4384,29.785,-93.91806,1,0,NA,NA,NA,NA,100,0,NA,NA,0.416666667,12.74111111,0,2.289473684,24.70421053,3.73684210526316e-05,3/27/24,Water Data For Texas - Lower Sabine,29.758,-93.89,1990,2022,13.63909662,30.87521506,1.4121019,7.63580412,211620,32,2.646948278,23.8671,continuous,3/27/24,Water Data For Texas - Lower Sabine,29.758,-93.89,1990,2022,22.37602366,32.30150936,7.265711411,6.85759973,212804,32,12.65197754,30.62636812,continuous
Cal_Lake_LA_2022-8-11,6,LA,7cfe672c,8/11/22,subtidal_dredge,1.828,29.84499,-93.3179,0.8889,0,0,1,0.05,46.73,88.89,0,5,100,0.111111111,3.77,0,1.222222222,26.49722222,4.44444444444444e-06,8/14/23,USGS Water Data Calcasieu River - 08017118,29.8157762,-93.349043,2007,2022,17.36607903,31.5625,3.89375,6.385193467,168813,16,8.7,25,continuous,8/14/23,USGS Water Data Calcasieu River - 08017118,29.8157762,-93.349043,2007,2022,22.68097836,32.9125,7.50625,6.670750162,168813,16,13.4,30.7,continuous
Nickle_Rf_LA_2022-8-1,7,LA,d56488d8,8/1/22,subtidal_dredge,3.048,29.4196,-91.70716,0.1875,0,0,1,0,52.70714286,18.75,0,0,100,0.125,6.044166667,0,0.15625,9.060625,0,8/17/23,USGS Water Data Vermilion Bay - 07387040,29.71326575,-91.8803982,2007,2022,3.92085229,13.44,0.233333333,3.132714594,321792,15,0.4,8.3,continuous,8/17/23,USGS Water Data Vermilion Bay - 07387040,29.71326575,-91.8803982,2007,2022,21.86322407,31.56666667,6.813333333,7.073808907,321792,15,11.7,30.2,continuous
Sister_Lk_LA_2022-8-9,8,LA,05f5093d,8/9/22,subtidal_dredge,2.19456,29.239925,-90.911362,0.2778,0,0,1,0,34.73846154,27.78,0,0,100,0.222222222,7.51,0,0.388888889,12.78,1.11111111111111e-06,8/15/23,USGS Water Data Sister Lake - 07381349,29.24916667,-90.9211111,2007,2022,10.4648686,25.75,0.96875,5.582166837,246950,16,3,18,continuous,8/15/23,USGS Water Data Sister Lake - 07381349,29.24916667,-90.9211111,2007,2022,22.86358534,33.16875,7.3125,6.691385901,246950,16,13.2,30.7,continuous
Culch_Ba_LA_2022-6-21,9,LA,bb5679af,6/21/22,subtidal_dredge,1.828,29.42362,-90.01914,0.3077,0,0,1,0,46.30461538,30.77,0,0,100,0.111111111,8.263333333,0,0.576923077,18.21538462,7.69230769230769e-07,8/15/23,USGS Water Data Culch Plant/Hackberry Bay - 073802512,29.39855505,-90.0411844,2007,2022,9.411105429,27.8,0.533333333,5.698713142,154474,15,2.2,17,continuous,8/15/23,USGS Water Data Culch Plant/Hackberry Bay - 073802512,29.39855505,-90.0411844,2007,2022,23.06439207,33.48666667,7.14,6.582084703,154474,15,13.6,30.6,continuous
LakeFortuna_LA_2022-5-11,10,LA,C2191EB0,5/10/22,subtidal_dredge,2.4384,29.64379,-89.49761,0.0833,0,0,NA,0.944444444,NA,8.33,0,94.44444444,NA,0.205882353,15.62235294,0,0.125,9.358333333,0,8/17/23,USGS Water Data Lake Fortuna - 07374526,29.63354395,-89.5636694,2007,2022,9.574933836,24.3125,1.48125,5.899617703,147362,16,1.7,18,continuous,8/17/23,USGS Water Data Lake Fortuna - 07374526,29.63354395,-89.5636694,2007,2022,22.16672005,32.46875,7.45,6.774471342,147362,16,12.6,30.3,continuous
CPR_MS_AL_2022-8-24,11,AL,9afe0651,8/24/22,subtidal_diving,1.9812,30.37278,-88.31833,0.625,0,0,1,0.058823529,39.20538462,62.5,0,5.882352941,100,0.125,5.7475,0,0.65625,22.93875,1.875e-06,7/11/23,NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ,30.3486,-88.4185,2005,2022,21.9349343,31.07894737,7.878947368,5.756667062,468737,19,14,28.8,continuous,7/11/23,NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ,30.3486,-88.4185,2005,2022,22.45369386,33.36315789,6.726315789,6.895611896,468737,19,12.8,30.6,continuous
