MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,10,BP,ISM,M1,SALINITY,,6.99,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,8,M ,ISM,M1,SALINITY,,6.31,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,9,M ,ISM,M1,SALINITY,,6.74,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,11,M ,ISM,M1,SALINITY,,7.18,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,12,M ,ISM,M1,SALINITY,,7.24,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,122010,BAY272,TWQM,TRIB,MDDNR,MDDNR,RET2.4,1/5/98,8:35:00,14.7,4.5,10.5,4,M ,ISM,M1,SALINITY,,9.14,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,122010,BAY272,TWQM,TRIB,MDDNR,MDDNR,RET2.4,1/5/98,8:35:00,14.7,4.5,10.5,5,M ,ISM,M1,SALINITY,,9.72,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,2,M ,ISM,M1,SALINITY,,4.42,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,3,M ,ISM,M1,SALINITY,,4.92,PPT,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,4,M ,ISM,M1,SALINITY,,5.3,PPT,F01 ,,,,,,38.3626,-76.99063,T3
