date,salinity,temp
9/25/15 15:00,31.67,17.54
9/25/15 16:00,31.67,17.49
9/25/15 17:00,31.68,17.41
9/25/15 18:00,31.73,16.87
9/25/15 19:00,31.76,16.59
9/25/15 20:00,31.78,16.24
9/25/15 21:00,31.78,16.21
9/25/15 22:00,31.76,16.55
9/25/15 23:00,31.77,16.4
9/26/15 0:00,31.75,16.6
9/26/15 1:00,31.71,16.99
9/26/15 2:00,31.68,17.3
9/26/15 3:00,31.69,17.25
9/26/15 4:00,31.69,17.15
9/26/15 5:00,31.7,17.04
9/26/15 6:00,31.71,16.9
9/26/15 7:00,31.75,16.46
9/26/15 8:00,31.78,16.19
9/26/15 9:00,31.8,15.99
9/26/15 10:00,31.8,15.95
9/26/15 11:00,31.77,16.35
9/26/15 12:00,31.76,16.62
9/26/15 13:00,31.75,16.8
9/26/15 14:00,31.7,17.14
9/26/15 15:00,31.7,17.17
9/26/15 16:00,31.7,17.23
9/26/15 17:00,31.71,17.12
9/26/15 18:00,31.72,16.92
9/26/15 19:00,31.75,16.57
9/26/15 20:00,31.78,16.27
9/26/15 21:00,31.81,15.97
9/26/15 22:00,31.81,15.9
9/26/15 23:00,31.78,16.22
9/27/15 0:00,31.77,16.32
9/27/15 1:00,31.77,16.32
9/27/15 2:00,31.72,16.81
9/27/15 3:00,31.71,16.9
9/27/15 4:00,31.71,16.89
9/27/15 5:00,31.72,16.74
9/27/15 6:00,31.73,16.62
9/27/15 7:00,31.74,16.56
9/27/15 8:00,31.77,16.22
9/27/15 9:00,31.79,16.06
9/27/15 10:00,31.81,15.93
9/27/15 11:00,31.76,16.39
9/27/15 12:00,31.79,16.36
9/27/15 13:00,31.78,16.49
9/27/15 14:00,31.76,16.64
9/27/15 15:00,31.73,16.84
9/27/15 16:00,31.72,16.88
9/27/15 17:00,31.73,16.88
9/27/15 18:00,31.73,16.85
9/27/15 19:00,31.76,16.6
9/27/15 20:00,31.77,16.39
9/27/15 21:00,31.78,16.31
9/27/15 22:00,31.82,15.93
9/27/15 23:00,31.77,16.43
9/28/15 0:00,31.79,16.12
9/28/15 1:00,31.79,16.18
9/28/15 2:00,31.77,16.38
9/28/15 3:00,31.74,16.68
9/28/15 4:00,31.74,16.69
9/28/15 5:00,31.74,16.67
9/28/15 6:00,31.74,16.61
9/28/15 7:00,31.75,16.47
9/28/15 8:00,31.76,16.41
9/28/15 9:00,31.79,16.1
9/28/15 10:00,31.79,16.2
9/28/15 11:00,31.82,15.91
9/28/15 12:00,31.79,16.35
9/28/15 13:00,31.8,16.43
9/28/15 14:00,31.78,16.53
9/29/15 10:40,31.76,16.62
9/29/15 11:40,31.81,16.21
9/29/15 12:40,31.83,16
9/29/15 13:40,31.8,16.34
9/29/15 14:40,31.81,16.29
9/29/15 15:40,31.78,16.57
9/29/15 16:40,31.76,16.83
9/29/15 17:40,31.75,16.88
9/29/15 18:40,31.75,16.91
9/29/15 19:40,31.76,16.84
9/29/15 20:40,31.77,16.8
9/29/15 21:40,31.76,16.74
9/29/15 22:40,31.8,16.32
9/29/15 23:40,31.77,16.38
9/30/15 0:40,31.82,15.9
9/30/15 1:40,31.74,16.39
9/30/15 2:40,31.58,16.43
9/30/15 3:40,31.63,16.58
9/30/15 4:40,31.73,16.64
9/30/15 5:40,31.7,16.88
9/30/15 6:40,31.58,16.91
9/30/15 7:40,31.38,16.91
9/30/15 8:40,31.37,16.84
9/30/15 9:40,31.5,16.71
9/30/15 10:40,31.46,16.62
9/30/15 11:40,31.36,16.28
9/30/15 12:40,30.81,16.2
9/30/15 13:40,31.05,16.17
9/30/15 14:40,30.22,16.69
9/30/15 15:40,30.51,16.5
9/30/15 16:40,30.47,16.62
9/30/15 17:40,31.26,16.86
9/30/15 18:40,31.09,16.88
9/30/15 19:40,30.98,16.93
9/30/15 20:40,31.03,16.83
9/30/15 21:40,31.14,16.62
9/30/15 22:40,31.28,16.48
9/30/15 23:40,31.33,16.27
10/1/15 0:40,31.44,15.86
10/1/15 1:40,31.27,16.26
10/1/15 2:40,31.41,15.89
10/1/15 3:40,31.38,15.99
10/1/15 4:40,31.33,16.1
10/1/15 5:40,31.14,16.41
10/1/15 6:40,30.99,16.59
10/1/15 7:40,30.9,16.58
10/1/15 8:40,30.88,16.55
10/1/15 9:40,30.98,16.44
10/1/15 10:40,31.11,16.19
10/1/15 11:40,31.3,15.92
10/1/15 12:40,31.39,15.67
10/1/15 13:40,31.41,15.51
10/1/15 14:40,31.29,15.81
10/1/15 15:40,31.34,15.74
10/1/15 16:40,31.32,15.8
10/1/15 17:40,31.18,16.07
10/1/15 18:40,30.96,16.33
10/1/15 19:40,30.87,16.38
10/1/15 20:40,30.76,16.42
10/1/15 21:40,30.83,16.33
10/1/15 22:40,30.85,16.07
10/1/15 23:40,31.15,15.87
10/2/15 0:40,31.23,15.58
10/2/15 1:40,31.35,15.3
10/2/15 2:40,31.34,15.24
10/2/15 3:40,31.26,15.37
10/3/15 17:45,31.27,15.39
10/3/15 18:45,31.17,14.79
10/3/15 19:45,31.01,14.84
10/3/15 20:45,30.6,15.01
10/3/15 21:45,30.51,15.03
10/3/15 22:45,30.43,15.01
10/3/15 23:45,30.54,14.92
10/4/15 0:45,30.71,14.74
10/4/15 1:45,31.03,14.64
10/4/15 2:45,31.15,14.54
10/4/15 3:45,31.21,14.45
10/4/15 4:45,30.8,14.58
10/4/15 5:45,31.13,14.37
10/4/15 6:45,31.04,14.35
10/4/15 7:45,31,14.36
10/4/15 8:45,30.83,14.56
10/4/15 9:45,30.51,14.71
10/4/15 10:45,30.47,14.75
10/4/15 11:45,30.51,14.77
10/4/15 12:45,30.49,14.89
10/4/15 13:45,30.96,14.6
10/4/15 14:45,31.13,14.6
10/4/15 15:45,31.23,14.46
10/4/15 16:45,31.28,14.36
10/4/15 17:45,30.98,14.6
10/4/15 18:45,31.01,14.54
10/4/15 19:45,31.01,14.59
10/4/15 20:45,30.85,14.49
10/4/15 21:45,30.48,14.62
10/4/15 22:45,30.34,14.65
10/4/15 23:45,30.28,14.64
10/5/15 0:45,30.4,14.59
10/5/15 1:45,30.43,14.51
10/5/15 2:45,30.78,14.38
10/5/15 3:45,31.11,14.24
10/5/15 4:45,31.11,14.15
10/5/15 5:45,30.63,14.14
10/5/15 6:45,30.95,14.13
10/5/15 7:45,30.9,14.15
10/5/15 8:45,30.75,14.16
10/5/15 9:45,30.76,14.38
10/5/15 10:45,30.42,14.62
10/5/15 11:45,30.3,14.65
10/5/15 12:45,30.29,14.8
10/5/15 13:45,30.38,15
10/5/15 14:45,30.87,14.39
10/5/15 15:45,31.14,14.26
10/5/15 16:45,31.1,14.32
10/5/15 17:45,30.69,14.68
10/5/15 18:45,30.72,14.54
10/5/15 19:45,30.92,14.35
10/5/15 20:45,31.03,14.36
10/5/15 21:45,30.68,14.34
10/5/15 22:45,30.45,14.36
10/5/15 23:45,30.24,14.44
10/6/15 0:45,30.19,14.45
10/6/15 1:45,30.2,14.32
10/6/15 2:45,30.28,14.3
10/6/15 3:45,30.82,14.24
10/6/15 4:45,30.99,14.1
10/6/15 5:45,30.86,14.05
10/6/15 6:45,30.6,14.08
10/6/15 7:45,30.86,14.03
10/6/15 8:45,30.83,14.06
10/6/15 9:45,30.68,14.14
10/6/15 10:45,30.67,14.34
10/6/15 11:45,30.44,14.53
10/6/15 12:45,30.2,14.68
10/6/15 13:45,30.13,14.83
10/6/15 14:45,30.28,14.68
10/6/15 15:45,30.34,14.77
10/6/15 16:45,30.76,14.46
10/6/15 17:45,31.03,14.28
10/6/15 18:45,30.65,14.67
10/6/15 19:45,30.77,14.42
10/6/15 20:45,30.69,14.38
10/6/15 21:45,30.81,14.22
10/6/15 22:45,30.68,14.23
10/6/15 23:45,30.46,14.29
10/7/15 0:45,30.2,14.38
10/7/15 1:45,30.08,14.4
10/7/15 2:45,30.09,14.31
10/7/15 3:45,30.15,14.24
10/7/15 4:45,30.87,14.14
10/7/15 5:45,30.98,14.07
10/7/15 6:45,30.99,13.97
10/7/15 7:45,30.59,14.14
10/7/15 8:45,30.84,14.05
10/7/15 9:45,30.74,14.14
10/7/15 10:45,30.53,14.41
10/7/15 11:45,30.49,14.46
10/7/15 12:45,30.38,14.58
10/7/15 13:45,30.2,14.67
