Station Name,Date,Depth,Parameter,Concentration,Unit
WW89,5/15/14,1,"Salinity, (ppt) - 00480",8.5,ppt
WW89,5/15/14,0.5,"Salinity, (ppt) - 00480",8.5,ppt
WW89,5/15/14,3,"Salinity, (ppt) - 00480",17.5,ppt
WW89,5/15/14,3,"Salinity, (ppt) - 00480",17.5,ppt
WW91,5/16/14,0.5,"Salinity, (ppt) - 00480",10,ppt
WW91,5/16/14,0.5,"Salinity, (ppt) - 00480",10,ppt
WW91,5/16/14,3,"Salinity, (ppt) - 00480",15,ppt
WW91,5/16/14,3,"Salinity, (ppt) - 00480",15,ppt
WW89,5/30/14,1,"Salinity, (ppt) - 00480",13,ppt
WW89,5/30/14,0.5,"Salinity, (ppt) - 00480",13,ppt
WW89,5/30/14,5,"Salinity, (ppt) - 00480",23.5,ppt
WW89,5/30/14,3,"Salinity, (ppt) - 00480",23.5,ppt
WW91,5/30/14,0.5,"Salinity, (ppt) - 00480",12,ppt
WW91,5/30/14,0.5,"Salinity, (ppt) - 00480",12,ppt
WW91,5/30/14,3,"Salinity, (ppt) - 00480",15,ppt
WW91,5/30/14,3,"Salinity, (ppt) - 00480",15,ppt
WW89,6/12/14,0.5,"Salinity, (ppt) - 00480",12.5,ppt
WW89,6/12/14,3,"Salinity, (ppt) - 00480",21.5,ppt
WW91,6/13/14,0.5,"Salinity, (ppt) - 00480",12,ppt
WW91,6/13/14,0.5,"Salinity, (ppt) - 00480",12,ppt
WW91,6/13/14,3,"Salinity, (ppt) - 00480",16,ppt
WW91,6/13/14,3,"Salinity, (ppt) - 00480",16,ppt
WW89,6/20/14,1,"Salinity, (ppt) - 00480",14,ppt
WW89,6/20/14,3,"Salinity, (ppt) - 00480",15.5,ppt
WW89,7/4/14,1,"Salinity, (ppt) - 00480",15,ppt
WW89,7/4/14,0.5,"Salinity, (ppt) - 00480",15,ppt
WW89,7/4/14,3,"Salinity, (ppt) - 00480",16.5,ppt
WW89,7/4/14,3,"Salinity, (ppt) - 00480",16.5,ppt
WW89,7/18/14,1,"Salinity, (ppt) - 00480",13,ppt
WW89,7/18/14,0.5,"Salinity, (ppt) - 00480",13,ppt
WW89,7/18/14,3,"Salinity, (ppt) - 00480",18.5,ppt
WW89,7/18/14,3,"Salinity, (ppt) - 00480",18.5,ppt
WW91,7/19/14,0.5,"Salinity, (ppt) - 00480",11.5,ppt
WW91,7/19/14,0.5,"Salinity, (ppt) - 00480",11.5,ppt
WW89,8/1/14,0.5,"Salinity, (ppt) - 00480",15.5,ppt
WW89,8/1/14,0.5,"Salinity, (ppt) - 00480",15.5,ppt
WW89,8/1/14,3,"Salinity, (ppt) - 00480",20,ppt
WW89,8/1/14,3,"Salinity, (ppt) - 00480",20,ppt
WW91,8/1/14,0.5,"Salinity, (ppt) - 00480",17,ppt
WW91,8/1/14,0.5,"Salinity, (ppt) - 00480",17,ppt
WW91,8/1/14,3,"Salinity, (ppt) - 00480",20,ppt
WW91,8/1/14,3,"Salinity, (ppt) - 00480",20,ppt
WW89,8/16/14,1,"Salinity, (ppt) - 00480",19,ppt
WW89,8/16/14,0.5,"Salinity, (ppt) - 00480",19,ppt
WW89,8/16/14,3,"Salinity, (ppt) - 00480",22,ppt
WW89,8/16/14,3,"Salinity, (ppt) - 00480",22,ppt
WW91,8/16/14,0.5,"Salinity, (ppt) - 00480",20,ppt
WW91,8/16/14,0.5,"Salinity, (ppt) - 00480",20,ppt
WW91,8/16/14,3,"Salinity, (ppt) - 00480",22,ppt
WW91,8/16/14,3,"Salinity, (ppt) - 00480",22,ppt
WW89,8/29/14,3,"Salinity, (ppt) - 00480",18,ppt
WW89,8/29/14,3,"Salinity, (ppt) - 00480",18,ppt
WW89,8/29/14,0.5,"Salinity, (ppt) - 00480",20,ppt
WW89,8/29/14,0.5,"Salinity, (ppt) - 00480",20,ppt
WW91,8/31/14,0.5,"Salinity, (ppt) - 00480",21.5,ppt
WW91,8/31/14,0.5,"Salinity, (ppt) - 00480",21.5,ppt
WW91,8/31/14,3,"Salinity, (ppt) - 00480",22,ppt
WW91,8/31/14,3,"Salinity, (ppt) - 00480",22,ppt
WW89,9/12/14,0.5,"Salinity, (ppt) - 00480",17.5,ppt
WW89,9/12/14,0.5,"Salinity, (ppt) - 00480",17.5,ppt
WW89,9/12/14,3,"Salinity, (ppt) - 00480",25,ppt
WW89,9/12/14,3,"Salinity, (ppt) - 00480",25,ppt
WW91,9/13/14,0.5,"Salinity, (ppt) - 00480",23,ppt
WW91,9/13/14,0.5,"Salinity, (ppt) - 00480",23,ppt
WW91,9/13/14,3,"Salinity, (ppt) - 00480",24.5,ppt
WW91,9/13/14,3,"Salinity, (ppt) - 00480",24.5,ppt
WW89,9/19/14,0.5,"Salinity, (ppt) - 00480",24,ppt
WW89,9/19/14,0.5,"Salinity, (ppt) - 00480",24,ppt
WW89,9/19/14,3,"Salinity, (ppt) - 00480",25,ppt
WW89,9/19/14,3,"Salinity, (ppt) - 00480",25,ppt
WW91,9/23/14,0.5,"Salinity, (ppt) - 00480",24.5,ppt
WW91,9/23/14,0.5,"Salinity, (ppt) - 00480",24.5,ppt
WW91,9/23/14,3,"Salinity, (ppt) - 00480",25,ppt
WW91,9/23/14,3,"Salinity, (ppt) - 00480",25,ppt
WW91,10/5/14,0.5,"Salinity, (ppt) - 00480",25,ppt
WW91,10/5/14,0.5,"Salinity, (ppt) - 00480",25,ppt
WW91,10/5/14,3,"Salinity, (ppt) - 00480",26,ppt
WW91,10/5/14,3,"Salinity, (ppt) - 00480",26,ppt
WW91,10/17/14,0.5,"Salinity, (ppt) - 00480",25,ppt
WW91,10/17/14,0.5,"Salinity, (ppt) - 00480",25,ppt
WW91,10/17/14,3,"Salinity, (ppt) - 00480",27,ppt
WW91,10/17/14,3,"Salinity, (ppt) - 00480",27,ppt
WW91,5/8/15,0.5,"Salinity, (ppt) - 00480",18,ppt
WW91,5/8/15,3,"Salinity, (ppt) - 00480",22,ppt
WW91,5/22/15,1,"Salinity, (ppt) - 00480",20,ppt
WW91,5/22/15,3,"Salinity, (ppt) - 00480",25,ppt
WW91,6/6/15,1,"Salinity, (ppt) - 00480",17.75,ppt
WW91,6/6/15,3,"Salinity, (ppt) - 00480",21.2,ppt
