StationID,DateRetrieved,AverageSpat,Salinity,Comments,TotalSpat
431,1-Jun-23,,7.8,First deployment,
431,15-Jun-23,0,6.8,,0
431,22-Jun-23,0.1,11.8,,1
431,29-Jun-23,0.5,6.7,Light barnacle set,5
431,6-Jul-23,1.2,7.4,,12
431,13-Jul-23,5.9,7.5,,59
431,20-Jul-23,0.7,5.3,,7
431,27-Jul-23,2,6.5,Light barnacle set,20
431,3-Aug-23,0.3,9.7,Light barnacle set,3
431,10-Aug-23,,7.7,Missing; replaced,
431,17-Aug-23,0,10.9,Bottom few shells in mud; adjusted line,0
431,24-Aug-23,0.4,12.9,,4
431,2-Jun-22,,3.1,Deployment,
431,9-Jun-22,0,4.3,,0
431,30-Jun-22,0.2,6.2,,2
431,7-Jul-22,1.1,7.1,,11
431,14-Jul-22,4.2,8.3,,42
431,28-Jul-22,1.7,8.4,,17
431,4-Aug-22,5.8,11.1,Light barnacle set,58
431,11-Aug-22,3.8,9.8,,38
431,18-Aug-22,0.9,12.7,Light barnacle set,9
431,25-Aug-22,1.8,11.5,,18
431,1-Sep-22,5.2,11.8,,52
431,8-Sep-22,1.6,14.9,Light barnacle set,16
431,15-Sep-22,6.7,12,Light barnacle set,67
431,6-Oct-22,2.4,14.2,Light to moderate barnacle set,24
431,20-May-21,,5.3,First deployment,
431,27-May-21,0,6.3,,0
431,10-Jun-21,0,6.7,,0
431,17-Jun-21,0.5,5.7,,5
431,24-Jun-21,0.9,7.7,,9
431,30-Jun-21,4.9,5.4,,49
431,15-Jul-21,1.4,7.8,,14
431,22-Jul-21,0.4,10.8,,4
431,29-Jul-21,0.3,11,,3
431,5-Aug-21,0.9,13.1,,9
431,12-Aug-21,0.7,10.2,,7
431,19-Aug-21,1.2,7.8,,12
431,26-Aug-21,0.7,7.8,,7
431,9-Sep-21,2.4,9.6,,24
431,16-Sep-21,1.2,9.8,,12
431,30-Sep-21,2.3,9.3,,23
431,6-Oct-21,0.2,10.7,,2
431,18-Jun-20,,6.5,Deployment,
431,25-Jun-20,0,1.5,,0
431,2-Jul-20,0,4.5,,0
431,9-Jul-20,0.4,7.2,,4
431,16-Jul-20,0.3,9,,3
431,23-Jul-20,0.2,8.5,,2
431,30-Jul-20,0.2,8.2,,2
431,6-Aug-20,,7,Shellstring missing; replaced,
431,13-Aug-20,4.5,5.6,Light to moderate barnacle set,45
431,20-Aug-20,0.9,2.5,Light barnacle set,9
431,3-Sep-20,0.2,3.7,,2
431,10-Sep-20,2,5.3,Light to moderate barnacle set,20
431,17-Sep-20,0.7,6.5,Light to moderate barnacle set,7
431,24-Sep-20,0.4,4.6,,4
431,1-Oct-20,0,3.3,,0
431,23-May-19,,2.4,Deployment,
431,30-May-19,0,4.7,,0
431,20-Jun-19,0,2.7,,0
431,27-Jun-19,0.1,7.2,,1
431,3-Jul-19,0.2,8.8,,2
431,11-Jul-19,0,7.9,,0
431,25-Jul-19,0.6,10.3,,6
431,1-Aug-19,1,10.4,,10
431,8-Aug-19,2.8,9.9,,28
431,15-Aug-19,0.2,11.2,,2
431,22-Aug-19,2.8,9.2,,28
431,5-Sep-19,9,12,,90
431,12-Sep-19,1.4,12.5,,14
431,26-Sep-19,6.3,13.2,,63
431,24-May-18,,0.2,Deployment,
431,31-May-18,0,1,,0
431,7-Jun-18,0,3.7,,0
431,14-Jun-18,0,2.1,,0
431,21-Jun-18,0,2.6,,0
431,28-Jun-18,0,1.7,,0
431,3-Jul-18,0,3.3,,0
431,12-Jul-18,0.3,5.4,,3
431,19-Jul-18,0.2,5.6,,2
431,26-Jul-18,0.1,4.5,,1
431,2-Aug-18,0.2,3.8,,2
431,9-Aug-18,0,3.2,,0
431,16-Aug-18,0,4,,0
431,30-Aug-18,2.5,6,,25
431,6-Sep-18,1.6,6.7,,16
431,20-Sep-18,1.4,4.3,,14
431,27-Sep-18,0,1.2,,0
431,4-Oct-18,0,0.5,,0
431,1-Jun-17,,0.7,Deployment,
431,8-Jun-17,0,5.1,,0
431,15-Jun-17,0,4.9,,0
431,29-Jun-17,0.5,6.4,,5
431,6-Jul-17,1.8,8.6,,18
431,13-Jul-17,0.5,7.9,,5
431,20-Jul-17,0.2,9.7,,2
431,27-Jul-17,0.4,13.2,,4
431,3-Aug-17,1.1,12.8,,11
431,10-Aug-17,1,12.9,,10
431,17-Aug-17,1.1,12,,11
431,24-Aug-17,0.4,11.5,,4
431,31-Aug-17,0.3,12.9,,3
431,7-Sep-17,0.2,10.2,,2
431,14-Sep-17,0,11.3,,0
431,21-Sep-17,0.1,13.6,,1
431,5-Oct-17,0.3,13,,3
431,26-May-16,,1.7,Deployment,
431,2-Jun-16,0,1.6,,0
431,9-Jun-16,0,0.6,,0
431,16-Jun-16,0,4.8,,0
431,30-Jun-16,0,3.7,,0
431,7-Jul-16,0.6,3,,6
431,14-Jul-16,4,5,,40
431,28-Jul-16,0,7.6,,0
431,4-Aug-16,0.6,9.6,,6
431,11-Aug-16,3,6.5,,30
431,18-Aug-16,0.1,7.9,,1
431,25-Aug-16,8.1,9.7,,81
431,1-Sep-16,1.3,10.6,,13
431,8-Sep-16,,11.8,Shellstring missing - replaced.,
431,15-Sep-16,1,11.3,,10
431,29-Sep-16,1.6,11.8,,16
431,28-May-15,,3,Deployment,
431,11-Jun-15,0,5.1,,0
431,18-Jun-15,0.2,7.5,,2
431,25-Jun-15,1.3,7.1,,13
431,2-Jul-15,2.3,5.4,,23
431,9-Jul-15,0.2,4,,2
431,16-Jul-15,0,6.1,,0
431,23-Jul-15,0.7,6.2,,7
431,30-Jul-15,0.3,8.2,,3
431,13-Aug-15,2.4,9.2,,24
431,20-Aug-15,2.9,9.4,,29
431,27-Aug-15,1.7,11.4,,17
431,3-Sep-15,3.2,10.1,,32
431,10-Sep-15,3.3,10.7,,33
431,17-Sep-15,0.7,10.8,,7
431,30-Sep-15,,12.7,Shellstring missing,
431,29-May-14,,3.4,Deployment,
431,12-Jun-14,0,5.4,,0
431,19-Jun-14,0,3.5,,0
431,26-Jun-14,0.3,4,,3
431,2-Jul-14,0.4,5,,4
431,10-Jul-14,0.1,5,,1
431,17-Jul-14,0,6.8,,0
431,31-Jul-14,0,8.9,,0
431,7-Aug-14,0.1,9.2,,1
431,14-Aug-14,0,9.3,,0
431,21-Aug-14,0.2,10.2,,2
431,4-Sep-14,0.2,9.8,,2
431,11-Sep-14,0.7,10.8,,7
431,18-Sep-14,0.1,10.8,,1
431,2-Oct-14,0.4,11.1,,4
431,30-May-13,,2.2,Deployment,
431,6-Jun-13,0,5.7,,0
431,13-Jun-13,0,0.5,,0
431,20-Jun-13,0,5.5,,0
431,27-Jun-13,0,2.4,,0
431,3-Jul-13,0,1.9,,0
431,11-Jul-13,0,2.1,,0
431,18-Jul-13,0,3.9,,0
431,8-Aug-13,0.667,7.6,,6
431,15-Aug-13,0.3,7,,3
431,22-Aug-13,0.1,7.2,,1
431,29-Aug-13,0.2,8.1,,2
431,5-Sep-13,0.5,8.6,,5
431,12-Sep-13,1,8.3,,10
431,26-Sep-13,0.3,10.7,,3
431,31-May-12,,3.9,Deployment,
431,7-Jun-12,0,7.1,,0
431,14-Jun-12,0,6.4,,0
431,21-Jun-12,0.3,6.3,,3
431,28-Jun-12,1.5,6,,15
431,5-Jul-12,4.2,7.9,,42
431,12-Jul-12,1.2,9.8,,12
431,19-Jul-12,0.2,9.3,,2
431,2-Aug-12,0.667,10.6,,6
431,9-Aug-12,1.6,8.8,,16
431,16-Aug-12,0.2,10.7,,2
431,23-Aug-12,3.4,12.5,,34
431,6-Sep-12,0.8,9,,8
431,13-Sep-12,0.2,14.8,,2
431,20-Sep-12,0.1,11.8,,1
431,27-Sep-12,0,9.4,,0
431,2-Jun-11,,2.4,Deployment,
431,9-Jun-11,,4.7,Shellstring missing - replaced,
431,16-Jun-11,0,7.2,,0
431,23-Jun-11,0,6,,0
431,30-Jun-11,0,7.5,,0
431,7-Jul-11,0,7.1,,0
431,14-Jul-11,0,6.4,,0
431,21-Jul-11,0.6,7.3,,6
431,4-Aug-11,1.5,9.8,,15
431,11-Aug-11,0.2,10.7,,2
431,18-Aug-11,2.333,11,,21
431,25-Aug-11,0.8,10.8,,8
431,1-Sep-11,,10,Shellstring missing - replaced,
431,8-Sep-11,0.2,8.9,,2
431,15-Sep-11,0,4.3,,0
431,22-Sep-11,0.1,6.5,,1
431,29-Sep-11,0,5.1,,0
431,3-Jun-10,0,4.7,,0
431,10-Jun-10,0,7.1,,0
431,17-Jun-10,0,8.6,,0
431,24-Jun-10,0,8.8,,0
431,1-Jul-10,0.3,10.1,,3
431,8-Jul-10,0.777777778,12,,7
431,15-Jul-10,4.3,11.2,,43
431,22-Jul-10,1.888888889,10.7,,17
431,29-Jul-10,0.5,10.4,,5
431,5-Aug-10,1.9,12.4,,19
431,12-Aug-10,1.9,12.9,,19
431,19-Aug-10,1.5,13.2,,15
431,26-Aug-10,1.9,14.6,,19
431,2-Sep-10,2.6,13.7,,26
431,9-Sep-10,1.7,13.3,,17
431,23-Sep-10,0.8,14.2,,8
