MM/DD/YY,HH:mm:SS,Date/Time Combined,Temp ('C),SpCond (ms/cm),Salinity (ppt),Battery (volts)
6/2/16,18:00:00,6/2/16 18:00,24.709,47.78,31.12,4.93
6/2/16,18:15:00,6/2/16 18:15,24.428,47.909,31.22,4.93
6/2/16,18:30:00,6/2/16 18:30,24.258,47.925,31.23,4.94
6/2/16,18:45:00,6/2/16 18:45,24.348,48.122,31.38,4.93
6/2/16,19:00:00,6/2/16 19:00,24.283,48.19,31.43,4.95
6/2/16,19:15:00,6/2/16 19:15,24.097,48.244,31.47,4.93
6/2/16,19:30:00,6/2/16 19:30,23.8,48.356,31.56,4.94
6/2/16,19:45:00,6/2/16 19:45,23.497,48.481,31.66,4.93
6/2/16,20:00:00,6/2/16 20:00,23.193,48.571,31.73,4.94
6/2/16,20:15:00,6/2/16 20:15,22.923,48.688,31.82,4.93
6/2/16,20:30:00,6/2/16 20:30,22.687,48.776,31.88,4.94
6/2/16,20:45:00,6/2/16 20:45,22.57,48.776,31.89,4.93
6/2/16,21:00:00,6/2/16 21:00,22.508,48.763,31.88,4.94
6/2/16,21:15:00,6/2/16 21:15,22.439,48.746,31.87,4.93
6/2/16,21:30:00,6/2/16 21:30,22.34,48.752,31.87,4.94
6/2/16,21:45:00,6/2/16 21:45,22.259,48.76,31.88,4.93
6/2/16,22:00:00,6/2/16 22:00,22.124,48.771,31.89,4.94
6/2/16,22:15:00,6/2/16 22:15,21.991,48.785,31.9,4.93
6/2/16,22:30:00,6/2/16 22:30,21.892,48.785,31.9,4.94
6/2/16,22:45:00,6/2/16 22:45,21.824,48.778,31.9,4.93
6/2/16,23:00:00,6/2/16 23:00,21.781,48.776,31.9,4.94
6/2/16,23:15:00,6/2/16 23:15,21.773,48.773,31.89,4.93
6/2/16,23:30:00,6/2/16 23:30,21.851,48.745,31.87,4.94
6/2/16,23:45:00,6/2/16 23:45,21.878,48.739,31.87,4.92
6/3/16,0:00:00,6/3/16 0:00,21.899,48.741,31.87,4.94
6/3/16,0:15:00,6/3/16 0:15,21.972,48.729,31.86,4.93
6/3/16,0:30:00,6/3/16 0:30,22.067,48.72,31.85,4.94
6/3/16,0:45:00,6/3/16 0:45,22.219,48.707,31.84,4.92
6/3/16,1:00:00,6/3/16 1:00,22.302,48.691,31.83,4.94
6/3/16,1:15:00,6/3/16 1:15,22.419,48.63,31.78,4.93
6/3/16,1:30:00,6/3/16 1:30,22.831,48.523,31.7,4.94
6/3/16,1:45:00,6/3/16 1:45,23.143,48.379,31.59,4.93
6/3/16,2:00:00,6/3/16 2:00,23.459,48.318,31.54,4.94
6/3/16,2:15:00,6/3/16 2:15,23.609,48.246,31.48,4.93
6/3/16,2:30:00,6/3/16 2:30,23.598,48.229,31.47,4.95
6/3/16,2:45:00,6/3/16 2:45,23.716,48.038,31.33,4.93
6/3/16,3:00:00,6/3/16 3:00,23.843,47.952,31.26,4.95
