WATERBODY,STATION,LEASE,LATITUDE,LONGITUDE,DEPLOYMENT_PERIOD,TIMESTAMP,SENSOR,DEPTH,VARIABLE,VALUE,UNITS,MOORING
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 06:02:42 PM,aquaMeasure-675286,2,Temperature,16.63,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 06:12:42 PM,aquaMeasure-675286,2,Temperature,16.63,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 06:22:42 PM,aquaMeasure-675286,2,Temperature,16.59,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 06:32:42 PM,aquaMeasure-675286,2,Temperature,16.65,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 06:42:42 PM,aquaMeasure-675286,2,Temperature,16.59,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 06:52:42 PM,aquaMeasure-675286,2,Temperature,16.46,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 07:02:42 PM,aquaMeasure-675286,2,Temperature,16.5,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 07:12:42 PM,aquaMeasure-675286,2,Temperature,16.5,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 07:22:42 PM,aquaMeasure-675286,2,Temperature,16.52,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 07:32:42 PM,aquaMeasure-675286,2,Temperature,16.46,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 07:42:42 PM,aquaMeasure-675286,2,Temperature,16.37,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 07:52:42 PM,aquaMeasure-675286,2,Temperature,16.31,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 08:02:42 PM,aquaMeasure-675286,2,Temperature,16,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 08:12:42 PM,aquaMeasure-675286,2,Temperature,15.81,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 08:22:42 PM,aquaMeasure-675286,2,Temperature,15.77,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 08:32:42 PM,aquaMeasure-675286,2,Temperature,15.77,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 08:42:42 PM,aquaMeasure-675286,2,Temperature,15.81,degrees Celsius,fixed
Lobster Bay,Morris Island,NA,43.79075,-65.91163,2020-Jun-16 to 2020-Sep-15,2020/06/16 08:52:42 PM,aquaMeasure-675286,2,Temperature,15.85,degrees Celsius,fixed
