,Date Time,Site,variable,mean,sd,se
1,6/14/23 10:00,FENC,Actual Conductivity,NA,NA,NA
2,6/14/23 10:00,FENC,Salinity,NA,NA,NA
3,6/14/23 10:00,FENC,Resistivity,NA,NA,NA
4,6/14/23 10:00,FENC,Total Dissolved Solids,NA,NA,NA
5,6/14/23 10:00,FENC,RDO Concentration,NA,NA,NA
6,6/14/23 10:00,FENC,RDO Saturation,NA,NA,NA
7,6/14/23 10:00,FENC,Oxygen Partial Pressure,NA,NA,NA
8,6/14/23 10:00,FENC,Chlorophyll-a Fluorescence,NA,NA,NA
9,6/14/23 10:00,FENC,pH,NA,NA,NA
10,6/14/23 10:00,FENC,pH mV,NA,NA,NA
11,6/14/23 10:00,FENC,Temperature,NA,NA,NA
12,6/14/23 11:00,FENC,Actual Conductivity,30387.07,1668.319405,681.0885449
13,6/14/23 11:00,FENC,Salinity,19.53415667,1.302577685,0.531775113
14,6/14/23 11:00,FENC,Resistivity,32.98963333,1.769232049,0.722285959
15,6/14/23 11:00,FENC,Total Dissolved Solids,20.13526833,1.220911253,0.498434932
16,6/14/23 11:00,FENC,RDO Concentration,8.284863667,0.087355831,0.035662869
17,6/14/23 11:00,FENC,RDO Saturation,110.8631667,0.434645997,0.177443485
18,6/14/23 11:00,FENC,Oxygen Partial Pressure,152.1876333,0.368810296,0.150566173
19,6/14/23 11:00,FENC,Chlorophyll-a Fluorescence,0.00128156,0.001322882,0.000540064
20,6/14/23 11:00,FENC,pH,7.325137667,0.042456363,0.017332738
21,6/14/23 11:00,FENC,pH mV,-18.70394,2.452218348,1.001113948
22,6/14/23 11:00,FENC,Temperature,24.02039333,0.840716872,0.343221226
23,6/14/23 12:00,FENC,Actual Conductivity,36029.03,2699.94948,1102.24976
24,6/14/23 12:00,FENC,Salinity,22.99002167,1.514190276,0.618165592
25,6/14/23 12:00,FENC,Resistivity,27.892965,2.20958082,0.902057592
26,6/14/23 12:00,FENC,Total Dissolved Solids,23.32156667,1.392335422,0.568418556
27,6/14/23 12:00,FENC,RDO Concentration,8.002229667,0.157014813,0.064101029
28,6/14/23 12:00,FENC,RDO Saturation,111.4744,1.464506299,0.597882193
29,6/14/23 12:00,FENC,Oxygen Partial Pressure,152.66805,1.494340929,0.610062129
30,6/14/23 12:00,FENC,Chlorophyll-a Fluorescence,0.001129003,0.00080191,0.000327378
31,6/14/23 12:00,FENC,pH,7.175252333,0.050711473,0.020702872
32,6/14/23 12:00,FENC,pH mV,-9.899140833,2.969727583,1.212386209
33,6/14/23 12:00,FENC,Temperature,25.19496833,1.638184968,0.668786212
34,6/14/23 13:00,FENC,Actual Conductivity,39926.225,4915.886535,2006.902274
35,6/14/23 13:00,FENC,Salinity,23.79819333,2.402354923,0.98075729
36,6/14/23 13:00,FENC,Resistivity,25.364775,3.106735569,1.268319485
37,6/14/23 13:00,FENC,Total Dissolved Solids,24.040105,2.209883012,0.902180962
38,6/14/23 13:00,FENC,RDO Concentration,7.166301333,0.411504391,0.167995964
39,6/14/23 13:00,FENC,RDO Saturation,108.16289,16.02616348,6.542653843
40,6/14/23 13:00,FENC,Oxygen Partial Pressure,146.3023167,19.84841149,8.103080061
41,6/14/23 13:00,FENC,Chlorophyll-a Fluorescence,0.008917329,0.009037144,0.003689399
42,6/14/23 13:00,FENC,pH,7.146113167,0.171701903,0.070097009
43,6/14/23 13:00,FENC,pH mV,-8.12808565,10.01680739,4.089344492
44,6/14/23 13:00,FENC,Temperature,29.31067833,6.145339836,2.508824483
45,6/14/23 14:00,FENC,Actual Conductivity,28662.73449,14046.43358,5734.432497
46,6/14/23 14:00,FENC,Salinity,19.44264936,9.53444274,3.892419949
47,6/14/23 14:00,FENC,Resistivity,8737.958823,21332.29322,8708.872238
48,6/14/23 14:00,FENC,Total Dissolved Solids,19.74217926,9.676434887,3.950388
49,6/14/23 14:00,FENC,RDO Concentration,7.042218667,0.856951728,0.349849078
50,6/14/23 14:00,FENC,RDO Saturation,90.230545,4.609221844,1.881706938
51,6/14/23 14:00,FENC,Oxygen Partial Pressure,124.3259333,6.428898361,2.624586765
52,6/14/23 14:00,FENC,Chlorophyll-a Fluorescence,0.017273819,0.008026472,0.003276794
53,6/14/23 14:00,FENC,pH,7.311341,0.107519128,0.0438945
54,6/14/23 14:00,FENC,pH mV,-17.77489867,6.303293428,2.573308766
55,6/14/23 14:00,FENC,Temperature,21.90573333,0.37213477,0.151923384
56,6/14/23 15:00,FENC,Actual Conductivity,33192.67167,248.7776529,101.5630515
57,6/14/23 15:00,FENC,Salinity,22.30858333,0.211102718,0.086182324
58,6/14/23 15:00,FENC,Resistivity,30.12854833,0.226710636,0.09255423
59,6/14/23 15:00,FENC,Total Dissolved Solids,22.74342333,0.196004774,0.080018614
60,6/14/23 15:00,FENC,RDO Concentration,6.8680355,0.070185298,0.028653028
61,6/14/23 15:00,FENC,RDO Saturation,90.556545,0.913669015,0.373003814
62,6/14/23 15:00,FENC,Oxygen Partial Pressure,124.6888667,1.248496071,0.509696387
63,6/14/23 15:00,FENC,Chlorophyll-a Fluorescence,0.022115583,0.000912538,0.000372542
64,6/14/23 15:00,FENC,pH,7.349876833,0.02147487,0.008767079
65,6/14/23 15:00,FENC,pH mV,-20.05259333,1.263496428,0.515820257
66,6/14/23 15:00,FENC,Temperature,22.31122,0.074123083,0.030260622
67,6/14/23 16:00,FENC,Actual Conductivity,36190.105,3667.785694,1497.367239
68,6/14/23 16:00,FENC,Salinity,25.30678333,3.481155602,1.421175823
69,6/14/23 16:00,FENC,Resistivity,27.87380667,2.866848939,1.170386179
70,6/14/23 16:00,FENC,Total Dissolved Solids,25.50177167,3.202587477,1.307450862
71,6/14/23 16:00,FENC,RDO Concentration,6.8986695,0.4898,0.199960013
72,6/14/23 16:00,FENC,RDO Saturation,90.46175167,6.254434715,2.55336228
73,6/14/23 16:00,FENC,Oxygen Partial Pressure,124.8149,8.827595781,3.603850886
74,6/14/23 16:00,FENC,Chlorophyll-a Fluorescence,0.373672788,0.426002683,0.173914867
75,6/14/23 16:00,FENC,pH,7.662625833,0.320839521,0.130982186
76,6/14/23 16:00,FENC,pH mV,-38.16207167,18.57879708,7.584762149
77,6/14/23 16:00,FENC,Temperature,21.06424833,1.20800008,0.493163968
78,6/14/23 17:00,FENC,Actual Conductivity,39454.72,88.53769525,36.14536273
79,6/14/23 17:00,FENC,Salinity,29.03734,0.125901587,0.051399108
80,6/14/23 17:00,FENC,Resistivity,25.34561833,0.056909714,0.023233294
81,6/14/23 17:00,FENC,Total Dissolved Solids,28.954525,0.12488101,0.050982459
82,6/14/23 17:00,FENC,RDO Concentration,7.813582,0.207783798,0.08482738
83,6/14/23 17:00,FENC,RDO Saturation,100.8202267,2.181326354,0.890522755
84,6/14/23 17:00,FENC,Oxygen Partial Pressure,139.5231167,3.077361548,1.256327591
85,6/14/23 17:00,FENC,Chlorophyll-a Fluorescence,0.686710883,0.211882292,0.086500583
86,6/14/23 17:00,FENC,pH,7.980503333,0.003249774,0.001326715
87,6/14/23 17:00,FENC,pH mV,-56.38798,0.133279629,0.054411181
88,6/14/23 17:00,FENC,Temperature,19.01778333,0.3028977,0.123657468
89,6/14/23 18:00,FENC,Actual Conductivity,39161.72,74.67221438,30.48480386
90,6/14/23 18:00,FENC,Salinity,29.25120333,0.013466465,0.005497661
91,6/14/23 18:00,FENC,Resistivity,25.53521833,0.04869767,0.019880741
