Date Time,Site,variable,mean
6/26/23 11:00,ASHC,Temperature,23.1827
6/26/23 14:00,ASHC,Temperature,22.74546333
6/26/23 15:00,ASHC,Temperature,22.55430833
6/26/23 16:00,ASHC,Temperature,22.28242333
6/26/23 17:00,ASHC,Temperature,22.34612167
6/26/23 18:00,ASHC,Temperature,22.356475
6/26/23 19:00,ASHC,Temperature,22.42895
6/26/23 20:00,ASHC,Temperature,22.5232
6/26/23 21:00,ASHC,Temperature,22.91492667
6/26/23 22:00,ASHC,Temperature,23.540755
6/26/23 23:00,ASHC,Temperature,23.75631
6/27/23 0:00,ASHC,Temperature,23.79753
6/27/23 1:00,ASHC,Temperature,23.33278833
6/27/23 2:00,ASHC,Temperature,22.71259167
6/27/23 3:00,ASHC,Temperature,22.48803167
6/27/23 4:00,ASHC,Temperature,22.47338167
6/27/23 5:00,ASHC,Temperature,22.39688333
6/27/23 6:00,ASHC,Temperature,22.18709333
6/27/23 7:00,ASHC,Temperature,22.22805833
6/27/23 8:00,ASHC,Temperature,22.41436
6/27/23 9:00,ASHC,Temperature,22.53317333
6/27/23 10:00,ASHC,Temperature,22.71311
6/27/23 11:00,ASHC,Temperature,23.02517714
6/27/23 12:00,ASHC,Temperature,23.285725
6/27/23 13:00,ASHC,Temperature,23.31301667
6/27/23 14:00,ASHC,Temperature,23.17083667
6/27/23 15:00,ASHC,Temperature,23.409255
6/27/23 16:00,ASHC,Temperature,23.30891
6/27/23 17:00,ASHC,Temperature,23.09489
6/27/23 18:00,ASHC,Temperature,23.0349
6/27/23 19:00,ASHC,Temperature,22.84309833
6/27/23 20:00,ASHC,Temperature,22.96393833
6/27/23 21:00,ASHC,Temperature,23.14313833
6/27/23 22:00,ASHC,Temperature,23.432735
6/27/23 23:00,ASHC,Temperature,23.68312667
6/28/23 0:00,ASHC,Temperature,23.73289333
6/28/23 1:00,ASHC,Temperature,23.67270333
6/28/23 2:00,ASHC,Temperature,23.33493167
6/28/23 3:00,ASHC,Temperature,22.93883167
6/28/23 4:00,ASHC,Temperature,22.81074833
6/28/23 5:00,ASHC,Temperature,22.67262
6/28/23 6:00,ASHC,Temperature,22.40009667
6/28/23 7:00,ASHC,Temperature,22.13476333
6/28/23 8:00,ASHC,Temperature,22.172695
6/28/23 9:00,ASHC,Temperature,22.470965
6/28/23 10:00,ASHC,Temperature,22.834625
6/28/23 11:00,ASHC,Temperature,23.46451571
6/28/23 12:00,ASHC,Temperature,24.58218333
6/28/23 13:00,ASHC,Temperature,25.53386
6/28/23 14:00,ASHC,Temperature,25.15278
6/28/23 15:00,ASHC,Temperature,24.07501
6/28/23 16:00,ASHC,Temperature,24.16866833
6/28/23 17:00,ASHC,Temperature,23.60508333
6/28/23 18:00,ASHC,Temperature,23.32925667
6/28/23 19:00,ASHC,Temperature,23.084945
6/28/23 20:00,ASHC,Temperature,22.95324833
6/28/23 21:00,ASHC,Temperature,23.25354333
6/28/23 22:00,ASHC,Temperature,23.47385167
6/28/23 23:00,ASHC,Temperature,23.99516667
6/29/23 0:00,ASHC,Temperature,24.25777833
6/29/23 1:00,ASHC,Temperature,24.21028
6/29/23 2:00,ASHC,Temperature,24.0152
6/29/23 3:00,ASHC,Temperature,23.04133167
6/29/23 4:00,ASHC,Temperature,22.01868833
6/29/23 5:00,ASHC,Temperature,22.01110833
6/29/23 6:00,ASHC,Temperature,21.65596667
6/29/23 7:00,ASHC,Temperature,21.43191
6/29/23 8:00,ASHC,Temperature,21.45384667
6/29/23 9:00,ASHC,Temperature,21.60692833
6/29/23 10:00,ASHC,Temperature,21.86052333
6/29/23 11:00,ASHC,Temperature,22.46742286
6/29/23 12:00,ASHC,Temperature,23.07076667
6/29/23 13:00,ASHC,Temperature,23.85984833
6/29/23 14:00,ASHC,Temperature,24.50209333
6/29/23 15:00,ASHC,Temperature,24.13300167
6/29/23 16:00,ASHC,Temperature,23.25167833
6/29/23 17:00,ASHC,Temperature,23.24401667
6/29/23 18:00,ASHC,Temperature,23.18122833
6/29/23 19:00,ASHC,Temperature,23.081265
6/29/23 20:00,ASHC,Temperature,23.044335
6/29/23 21:00,ASHC,Temperature,22.986955
6/29/23 22:00,ASHC,Temperature,22.96871167
6/29/23 23:00,ASHC,Temperature,23.03825833
6/30/23 0:00,ASHC,Temperature,23.16834167
6/30/23 1:00,ASHC,Temperature,23.15362833
6/30/23 2:00,ASHC,Temperature,23.043615
6/30/23 3:00,ASHC,Temperature,22.82276667
6/30/23 4:00,ASHC,Temperature,22.75614167
6/30/23 5:00,ASHC,Temperature,22.54236
6/30/23 6:00,ASHC,Temperature,22.28443667
6/30/23 7:00,ASHC,Temperature,22.03641833
6/30/23 8:00,ASHC,Temperature,22.02133833
6/30/23 9:00,ASHC,Temperature,21.77576833
6/30/23 10:00,ASHC,Temperature,22.09985833
6/30/23 11:00,ASHC,Temperature,22.82025429
6/30/23 12:00,ASHC,Temperature,23.32577167
6/30/23 13:00,ASHC,Temperature,24.51876667
6/30/23 14:00,ASHC,Temperature,25.756055
6/30/23 15:00,ASHC,Temperature,26.26866833
6/30/23 16:00,ASHC,Temperature,26.639465
6/30/23 17:00,ASHC,Temperature,24.89068
6/30/23 18:00,ASHC,Temperature,23.66011333
6/30/23 19:00,ASHC,Temperature,23.71302
6/30/23 20:00,ASHC,Temperature,23.040465
6/30/23 21:00,ASHC,Temperature,22.59726333
6/30/23 22:00,ASHC,Temperature,22.78626333
6/30/23 23:00,ASHC,Temperature,23.11174833
7/1/23 0:00,ASHC,Temperature,23.31293
7/1/23 1:00,ASHC,Temperature,23.43628167
7/1/23 2:00,ASHC,Temperature,23.33573
7/1/23 3:00,ASHC,Temperature,23.213645
7/1/23 4:00,ASHC,Temperature,22.92295833
7/1/23 5:00,ASHC,Temperature,22.94748833
7/1/23 6:00,ASHC,Temperature,22.6326
7/1/23 7:00,ASHC,Temperature,22.208465
