,Date Time,Site,variable,mean
22,6/14/23 11:00,FENC,Temperature,24.02039333
33,6/14/23 12:00,FENC,Temperature,25.19496833
44,6/14/23 13:00,FENC,Temperature,29.31067833
55,6/14/23 14:00,FENC,Temperature,21.90573333
66,6/14/23 15:00,FENC,Temperature,22.31122
77,6/14/23 16:00,FENC,Temperature,21.06424833
88,6/14/23 17:00,FENC,Temperature,19.01778333
99,6/14/23 18:00,FENC,Temperature,18.32465833
110,6/14/23 19:00,FENC,Temperature,18.24690833
121,6/14/23 20:00,FENC,Temperature,18.34893
132,6/14/23 21:00,FENC,Temperature,18.13923333
143,6/14/23 22:00,FENC,Temperature,18.08786667
154,6/14/23 23:00,FENC,Temperature,17.99297167
165,6/15/23 0:00,FENC,Temperature,18.05695833
176,6/15/23 1:00,FENC,Temperature,18.43843333
187,6/15/23 2:00,FENC,Temperature,18.441745
198,6/15/23 3:00,FENC,Temperature,18.27538
209,6/15/23 4:00,FENC,Temperature,18.07136333
220,6/15/23 5:00,FENC,Temperature,17.86294
231,6/15/23 6:00,FENC,Temperature,17.23411833
242,6/15/23 7:00,FENC,Temperature,17.3907
253,6/15/23 8:00,FENC,Temperature,17.55435667
264,6/15/23 9:00,FENC,Temperature,17.65117333
275,6/15/23 10:00,FENC,Temperature,17.84847
286,6/15/23 11:00,FENC,Temperature,18.51848
297,6/15/23 12:00,FENC,Temperature,19.46576833
308,6/15/23 13:00,FENC,Temperature,20.03671
319,6/15/23 14:00,FENC,Temperature,20.679985
330,6/15/23 15:00,FENC,Temperature,21.51151833
341,6/15/23 16:00,FENC,Temperature,21.961105
352,6/15/23 17:00,FENC,Temperature,21.50677
363,6/15/23 18:00,FENC,Temperature,19.09791833
374,6/15/23 19:00,FENC,Temperature,18.77714333
385,6/15/23 20:00,FENC,Temperature,18.43022833
396,6/15/23 21:00,FENC,Temperature,18.21251333
407,6/15/23 22:00,FENC,Temperature,18.10552
418,6/15/23 23:00,FENC,Temperature,18.09474333
429,6/16/23 0:00,FENC,Temperature,18.15025
440,6/16/23 1:00,FENC,Temperature,18.55421333
451,6/16/23 2:00,FENC,Temperature,18.967245
462,6/16/23 3:00,FENC,Temperature,18.93205333
473,6/16/23 4:00,FENC,Temperature,18.749055
484,6/16/23 5:00,FENC,Temperature,18.53896667
495,6/16/23 6:00,FENC,Temperature,18.29505
506,6/16/23 7:00,FENC,Temperature,17.44809667
517,6/16/23 8:00,FENC,Temperature,17.55701
528,6/16/23 9:00,FENC,Temperature,17.70473167
539,6/16/23 10:00,FENC,Temperature,17.916265
550,6/16/23 11:00,FENC,Temperature,18.355385
561,6/16/23 12:00,FENC,Temperature,19.99518167
572,6/16/23 13:00,FENC,Temperature,21.35508833
583,6/16/23 14:00,FENC,Temperature,21.92246
594,6/16/23 15:00,FENC,Temperature,22.101755
605,6/16/23 16:00,FENC,Temperature,21.92691667
616,6/16/23 17:00,FENC,Temperature,21.52206167
627,6/16/23 18:00,FENC,Temperature,20.08820667
638,6/16/23 19:00,FENC,Temperature,19.08087667
649,6/16/23 20:00,FENC,Temperature,18.34387167
660,6/16/23 21:00,FENC,Temperature,17.92850667
671,6/16/23 22:00,FENC,Temperature,17.72674333
682,6/16/23 23:00,FENC,Temperature,17.63802
693,6/17/23 0:00,FENC,Temperature,17.73771167
704,6/17/23 1:00,FENC,Temperature,17.986005
715,6/17/23 2:00,FENC,Temperature,18.43346667
726,6/17/23 3:00,FENC,Temperature,18.728515
737,6/17/23 4:00,FENC,Temperature,18.67861167
748,6/17/23 5:00,FENC,Temperature,18.57818833
759,6/17/23 6:00,FENC,Temperature,18.49452667
770,6/17/23 7:00,FENC,Temperature,17.91078167
781,6/17/23 8:00,FENC,Temperature,17.13541833
792,6/17/23 9:00,FENC,Temperature,17.29314833
803,6/17/23 10:00,FENC,Temperature,17.46955167
814,6/17/23 11:00,FENC,Temperature,17.51655833
825,6/17/23 12:00,FENC,Temperature,17.93744667
836,6/17/23 13:00,FENC,Temperature,18.98256333
847,6/17/23 14:00,FENC,Temperature,19.51873833
858,6/17/23 15:00,FENC,Temperature,20.25362167
869,6/17/23 16:00,FENC,Temperature,20.522545
880,6/17/23 17:00,FENC,Temperature,20.53202333
891,6/17/23 18:00,FENC,Temperature,20.76602833
902,6/17/23 19:00,FENC,Temperature,18.17035667
913,6/17/23 20:00,FENC,Temperature,17.33272833
924,6/17/23 21:00,FENC,Temperature,17.23727
935,6/17/23 22:00,FENC,Temperature,17.15696833
946,6/17/23 23:00,FENC,Temperature,17.11727167
957,6/18/23 0:00,FENC,Temperature,17.09104
968,6/18/23 1:00,FENC,Temperature,17.07079167
979,6/18/23 2:00,FENC,Temperature,17.16929667
990,6/18/23 3:00,FENC,Temperature,17.56053167
1001,6/18/23 4:00,FENC,Temperature,17.71840333
1012,6/18/23 5:00,FENC,Temperature,17.60736333
1023,6/18/23 6:00,FENC,Temperature,17.47204833
1034,6/18/23 7:00,FENC,Temperature,17.50337667
1045,6/18/23 8:00,FENC,Temperature,17.83046167
1056,6/18/23 9:00,FENC,Temperature,17.58031333
1067,6/18/23 10:00,FENC,Temperature,17.68705333
1078,6/18/23 11:00,FENC,Temperature,17.8249
1089,6/18/23 12:00,FENC,Temperature,17.94631333
1100,6/18/23 13:00,FENC,Temperature,19.09425167
1111,6/18/23 14:00,FENC,Temperature,20.83098167
1122,6/18/23 15:00,FENC,Temperature,21.784465
1133,6/18/23 16:00,FENC,Temperature,22.50550167
1144,6/18/23 17:00,FENC,Temperature,22.61578167
1155,6/18/23 18:00,FENC,Temperature,22.67994
1166,6/18/23 19:00,FENC,Temperature,22.51728333
1177,6/18/23 20:00,FENC,Temperature,18.91644667
1188,6/18/23 21:00,FENC,Temperature,18.49031833
1199,6/18/23 22:00,FENC,Temperature,17.93825833
1210,6/18/23 23:00,FENC,Temperature,17.68529333
1221,6/19/23 0:00,FENC,Temperature,17.64984167
1232,6/19/23 1:00,FENC,Temperature,17.64229833
1243,6/19/23 2:00,FENC,Temperature,17.73134333
1254,6/19/23 3:00,FENC,Temperature,18.159255
1265,6/19/23 4:00,FENC,Temperature,18.79691833
1276,6/19/23 5:00,FENC,Temperature,18.91426167
1287,6/19/23 6:00,FENC,Temperature,18.84933
1298,6/19/23 7:00,FENC,Temperature,18.91453167
1309,6/19/23 8:00,FENC,Temperature,19.2365
1320,6/19/23 9:00,FENC,Temperature,19.04647667
1331,6/19/23 10:00,FENC,Temperature,18.46767
1342,6/19/23 11:00,FENC,Temperature,19.11867833
1353,6/19/23 12:00,FENC,Temperature,19.25422333
1364,6/19/23 13:00,FENC,Temperature,19.81539833
1375,6/19/23 14:00,FENC,Temperature,21.159335
1386,6/19/23 15:00,FENC,Temperature,22.560075
1397,6/19/23 16:00,FENC,Temperature,23.50414167
1408,6/19/23 17:00,FENC,Temperature,24.30578833
1419,6/19/23 18:00,FENC,Temperature,24.37512167
1430,6/19/23 19:00,FENC,Temperature,23.92851167
1441,6/19/23 20:00,FENC,Temperature,22.11415333
1452,6/19/23 21:00,FENC,Temperature,19.38623333
1463,6/19/23 22:00,FENC,Temperature,18.87303333
1474,6/19/23 23:00,FENC,Temperature,18.42820333
1485,6/20/23 0:00,FENC,Temperature,18.11373833
1496,6/20/23 1:00,FENC,Temperature,18.051585
1507,6/20/23 2:00,FENC,Temperature,17.98335
