MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,0.5,S ,ISM,M1,WTEMP,,21.2,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,5,AP,ISM,M1,WTEMP,,20.7,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,2,M ,ISM,M1,WTEMP,,21,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103422,BAY299,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/24/99,8:08:00,19,,,1,M ,ISM,M1,WTEMP,,21.2,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,14,M ,ISM,M1,WTEMP,,16.9,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,13,M ,ISM,M1,WTEMP,,16.9,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,10,BP,ISM,M1,WTEMP,,16.9,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,12,M ,ISM,M1,WTEMP,,16.9,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,11,M ,ISM,M1,WTEMP,,16.9,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,9,M ,ISM,M1,WTEMP,,17.1,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,8,M ,ISM,M1,WTEMP,,17.2,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,122010,BAY272,TWQM,TRIB,MDDNR,MDDNR,RET2.4,1/5/98,8:35:00,14.7,4.5,10.5,4,M ,ISM,M1,WTEMP,,4.8,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,3,M ,ISM,M1,WTEMP,,18,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,2,M ,ISM,M1,WTEMP,,18.2,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,7,M ,ISM,M1,WTEMP,,17.4,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,6,M ,ISM,M1,WTEMP,,17.5,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
RET2.4,103253,BAY298,TWQM,TRIB,MDDNR,MDDNR,RET2.4,5/10/99,8:55:00,19,2.5,8.5,5,M ,ISM,M1,WTEMP,,17.6,DEG C,F01 ,,,,,,38.3626,-76.99063,T3
