station_id,timestamp,tss_result_type,tss_detection_condition,tss_value,tss_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,ph_result_type,ph_detection_condition,ph_value,ph_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units,do_result_type,do_detection_condition,do_value,do_units
31DELRBC_WQX-091015,2010-04-20 08:37:00,Actual,Detected,30,mg/l,Actual,Detected,5.12,ppt,Actual,Detected,13.83,Deg C.,Actual,Detected,4,cfu/100 ml,Actual,Detected,5.59,ug/l,Actual,Detected,0.08,mg/l,Actual,Detected,6.74,ph,Actual,Detected,1.64,mg/l,Actual,Detected,8.88,mg/l
31DELRBC_WQX-091015,2010-09-27 08:35:00,Actual,Detected,33,mg/l,Actual,Detected,11.45,ppt,Actual,Detected,23.23,Deg C.,Actual,Detected,11,cfu/100 ml,Actual,Detected,4.75,ug/l,Actual,Detected,0.1,mg/l,Actual,Detected,7.27,ph,Actual,Detected,1.59,mg/l,Actual,Detected,7.18,mg/l
31DELRBC_WQX-091015,2010-08-30 08:36:00,Actual,Detected,25,mg/l,Actual,Detected,9.25,ppt,Actual,Detected,24.75,Deg C.,Actual,Detected,25,cfu/100 ml,Actual,Detected,5.25,ug/l,Actual,Detected,0.11,mg/l,Actual,Detected,7.14,ph,Actual,Detected,1.55,mg/l,Actual,Detected,7.02,mg/l
31DELRBC_WQX-091015,2010-06-22 00:00:00,Actual,Detected,36,mg/l,Actual,Detected,8.37,ppt,Actual,Detected,25.49,Deg C.,Actual,Detected,1,cfu/100 ml,Actual,Detected,9.45,ug/l,Actual,Detected,0.07,mg/l,Actual,Detected,7.16,ph,Actual,Detected,1.57,mg/l,Actual,Detected,6.06,mg/l
31DELRBC_WQX-091015,2010-10-25 08:30:00,Actual,Detected,41,mg/l,Actual,Detected,4.95,ppt,Actual,Detected,15.67,Deg C.,Actual,Detected,2,cfu/100 ml,Actual,Detected,2.8,ug/l,Actual,Detected,0.14,mg/l,Actual,Detected,7.44,ph,Actual,Detected,1.99,mg/l,Actual,Detected,8.89,mg/l
31DELRBC_WQX-091015,2010-03-22 08:37:00,Actual,Detected,37,mg/l,Actual,Detected,1.48,ppt,Actual,Detected,10.76,Deg C.,Actual,Detected,6,cfu/100 ml,Actual,Detected,11,ug/l,Actual,Detected,0.12,mg/l,Actual,Detected,7.07,ph,Actual,Detected,2.13,mg/l,Actual,Detected,8.42,mg/l
31DELRBC_WQX-091015,2010-05-25 08:33:00,Actual,Detected,39,mg/l,Actual,Detected,5.81,ppt,Actual,Detected,19.35,Deg C.,Actual,Detected,47,cfu/100 ml,Actual,Detected,5.57,ug/l,Actual,Detected,0.08,mg/l,Actual,Detected,7.23,ph,Actual,Detected,1.7,mg/l,Actual,Detected,7.63,mg/l
31DELRBC_WQX-091015,2010-07-20 10:43:00,Actual,Detected,23,mg/l,Actual,Detected,7.94,ppt,Actual,Detected,27.44,Deg C.,Actual,Detected,4,cfu/100 ml,Actual,Detected,9.31,ug/l,Actual,Detected,0.1,mg/l,Actual,Detected,7.18,ph,Actual,Detected,1.79,mg/l,Actual,Detected,6.12,mg/l
31DELRBC_WQX-091015,2011-06-21 08:39:00,Actual,Detected,36,mg/l,Actual,Detected,5.67,ppt,Actual,Detected,23.79,Deg C.,Actual,Detected,1,cfu/100 ml,Actual,Detected,6.33,ug/l,Actual,Detected,0.1,mg/l,Actual,Detected,7.14,ph,Actual,Detected,1.36,mg/l,Actual,Detected,6.84,mg/l
31DELRBC_WQX-091015,2011-05-24 08:58:00,Actual,Detected,32,mg/l,Actual,Detected,0.56,ppt,Actual,Detected,20.7,Deg C.,Actual,Not Detected,0.5,cfu/100 ml,Actual,Detected,7.54,ug/l,Actual,Detected,0.1,mg/l,Actual,Detected,7.22,ph,Actual,Detected,1.6,mg/l,Actual,Detected,8.15,mg/l
