StationID,Year,DateDeployed,DateRetrieved,AverageSpat,WaterTemperature,Salinity
435,2023,01-Jun-23,01-Jun-23,,19.6,15
435,2023,01-Jun-23,15-Jun-23,0,23,16
435,2023,15-Jun-23,22-Jun-23,1,23.1,15.9
435,2023,22-Jun-23,29-Jun-23,7.7,24.4,19.2
435,2023,29-Jun-23,06-Jul-23,14.2,28.1,12.7
435,2023,06-Jul-23,13-Jul-23,35.5,28.7,16.1
435,2023,13-Jul-23,20-Jul-23,12,28.7,13.5
435,2023,20-Jul-23,27-Jul-23,3.7,28.8,13.2
435,2023,27-Jul-23,03-Aug-23,1,26.9,14.6
435,2023,03-Aug-23,10-Aug-23,0.5,27.3,17.9
435,2023,10-Aug-23,17-Aug-23,,27.6,19.4
435,2023,17-Aug-23,24-Aug-23,0.9,26.4,19.1
435,2022,02-Jun-22,02-Jun-22,,25.3,7.2
435,2022,02-Jun-22,09-Jun-22,0,26.1,8.3
435,2022,09-Jun-22,30-Jun-22,2.6,25.6,11.2
435,2022,30-Jun-22,07-Jul-22,7,26.9,17.1
435,2022,07-Jul-22,14-Jul-22,5.4,26.8,13.5
435,2022,14-Jul-22,28-Jul-22,4.9,26.9,20
435,2022,28-Jul-22,04-Aug-22,2.9,28.7,17.3
435,2022,04-Aug-22,11-Aug-22,2.3,28.2,18.6
435,2022,11-Aug-22,18-Aug-22,0.5,25.7,19.2
435,2022,18-Aug-22,25-Aug-22,1.3,27.1,19.2
435,2022,25-Aug-22,01-Sep-22,1.9,27.9,18
435,2022,01-Sep-22,08-Sep-22,2.5,26.9,21
435,2022,08-Sep-22,15-Sep-22,3.1,25.5,17.7
435,2022,15-Sep-22,06-Oct-22,3.7,17.4,20.9
435,2021,20-May-21,20-May-21,,20.3,13.3
435,2021,20-May-21,27-May-21,0,23.5,11.8
435,2021,27-May-21,10-Jun-21,0,24.4,17
435,2021,10-Jun-21,17-Jun-21,1.2,25.6,14.4
435,2021,17-Jun-21,24-Jun-21,14.3,25,12.8
435,2021,24-Jun-21,30-Jun-21,64.9,27.5,11.6
435,2021,30-Jun-21,15-Jul-21,30.4,27.8,16.3
435,2021,15-Jul-21,22-Jul-21,14.3,27.5,19.7
435,2021,22-Jul-21,29-Jul-21,6.5,27.7,18.7
435,2021,29-Jul-21,05-Aug-21,3.7,25.9,21.4
435,2021,05-Aug-21,12-Aug-21,1.8,28.2,16.6
435,2021,12-Aug-21,19-Aug-21,2.8,28.9,17
435,2021,19-Aug-21,25-Aug-21,6.2,29,13.9
435,2021,25-Aug-21,09-Sep-21,14.6,25.9,15.4
435,2021,09-Sep-21,16-Sep-21,9.7,25.8,19.1
435,2021,16-Sep-21,30-Sep-21,11.9,23.9,19.8
435,2021,30-Sep-21,06-Oct-21,3.2,23.8,18
435,2020,18-Jun-20,18-Jun-20,,21.7,15.6
435,2020,18-Jun-20,25-Jun-20,1.1,25.7,6.1
435,2020,25-Jun-20,02-Jul-20,2.1,26.1,16.4
435,2020,02-Jul-20,09-Jul-20,33.5,28.2,13.5
435,2020,09-Jul-20,16-Jul-20,3.2,28,18.1
435,2020,16-Jul-20,23-Jul-20,0.4,29.9,14.7
435,2020,23-Jul-20,30-Jul-20,4.2,29.4,19.4
435,2020,30-Jul-20,06-Aug-20,23.3,28.8,12.5
435,2020,06-Aug-20,13-Aug-20,28.5,29.2,15.2
435,2020,13-Aug-20,20-Aug-20,4.3,27.7,8.4
