"","Vial_Label","ID_SiteDate","clean_ID","mg_tissue","qPCR_plate","short_label","cq_well_position"
"1","CviMVP_10015","LakeFortuna_LA_2022-5-11","D11_CviMVP_PlDNA_10_SG_1014_8102b940",20,"qpcr_pl21","D11_PIDNA10","C09"
"2","CviMVP_10015","LakeFortuna_LA_2022-5-11","D11_CviMVP_PlDNA_10_SG_1014_8102b940",20,"qpcr_pl21","D11_PIDNA10","C10"
"3","CviMVP_10018","LakeFortuna_LA_2022-5-11","A10_CviMVP_PlDNA_3_SG_1015_9b0b22ae",20,"qpcr_pl12","A10_PIDNA3","B11"
"4","CviMVP_10018","LakeFortuna_LA_2022-5-11","A10_CviMVP_PlDNA_3_SG_1015_9b0b22ae",20,"qpcr_pl12","A10_PIDNA3","B12"
"5","CviMVP_10033","LakeFortuna_LA_2022-5-11","G12_CviMVP_PlDNA_7_SG_1016_32ac523d",20,"qpcr_pl14","G12_PIDNA7","C05"
"6","CviMVP_10033","LakeFortuna_LA_2022-5-11","G12_CviMVP_PlDNA_7_SG_1016_32ac523d",20,"qpcr_pl14","G12_PIDNA7","C06"
"7","CviMVP_10036","LakeFortuna_LA_2022-5-11","A5_CviMVP_PlDNA_4_SG_1017_8d7c2653",20,"qpcr_pl15","A5_PIDNA4","A05"
"8","CviMVP_10036","LakeFortuna_LA_2022-5-11","A5_CviMVP_PlDNA_4_SG_1017_8d7c2653",20,"qpcr_pl15","A5_PIDNA4","A06"
"9","CviMVP_10040","LakeFortuna_LA_2022-5-11","A4_CviMVP_PlDNA_8_SG_1018_d1b93996",20,"qpcr_pl4","A4_PlDNA8","A09"
"10","CviMVP_10040","LakeFortuna_LA_2022-5-11","A4_CviMVP_PlDNA_8_SG_1018_d1b93996",20,"qpcr_pl4","A4_PlDNA8","A10"
"11","CviMVP_10040","LakeFortuna_LA_2022-5-11","A4_CviMVP_PlDNA_8_SG_1018_d1b93996",20,"qpcr_pl22","A4_PlDNA8","E09"
"12","CviMVP_10040","LakeFortuna_LA_2022-5-11","A4_CviMVP_PlDNA_8_SG_1018_d1b93996",20,"qpcr_pl22","A4_PlDNA8","E10"
"13","CviMVP_10057","LakeFortuna_LA_2022-5-11","C2_CviMVP_PlDNA_9_SG_1025_43336380",20,"qpcr_pl18","C2_PIDNA9","C05"
"14","CviMVP_10057","LakeFortuna_LA_2022-5-11","C2_CviMVP_PlDNA_9_SG_1025_43336380",20,"qpcr_pl18","C2_PIDNA9","C06"
"15","CviMVP_10057","LakeFortuna_LA_2022-5-11","C2_CviMVP_PlDNA_9_SG_1025_43336380",20,"qpcr_pl22","C2_PlDNA9","C03"
"16","CviMVP_10057","LakeFortuna_LA_2022-5-11","C2_CviMVP_PlDNA_9_SG_1025_43336380",20,"qpcr_pl22","C2_PlDNA9","C04"
"17","CviMVP_10060","LakeFortuna_LA_2022-5-11","E9_CviMVP_PlDNA_3_SG_1026_d9b276d4",20,"qpcr_pl12","E9_PIDNA3","E09"
"18","CviMVP_10060","LakeFortuna_LA_2022-5-11","E9_CviMVP_PlDNA_3_SG_1026_d9b276d4",20,"qpcr_pl12","E9_PIDNA3","E10"
"19","CviMVP_10064","LakeFortuna_LA_2022-5-11","G5_CviMVP_PlDNA_2_SG_1027_8151ca73",18,"qpcr_pl9","G5_PlDNA2","G05"
"20","CviMVP_10064","LakeFortuna_LA_2022-5-11","G5_CviMVP_PlDNA_2_SG_1027_8151ca73",18,"qpcr_pl9","G5_PlDNA2","G06"
"21","CviMVP_10068","LakeFortuna_LA_2022-5-11","A9_CviMVP_PlDNA_4_SG_1028_4e0fd7b2",20,"qpcr_pl16","A9_PIDNA4","A03"
"22","CviMVP_10068","LakeFortuna_LA_2022-5-11","A9_CviMVP_PlDNA_4_SG_1028_4e0fd7b2",20,"qpcr_pl16","A9_PIDNA4","A04"
"23","CviMVP_10072","LakeFortuna_LA_2022-5-11","F7_CviMVP_PlDNA_2_SG_1029_1709b6fc",20,"qpcr_pl9","F7_PlDNA2","E09"
"24","CviMVP_10072","LakeFortuna_LA_2022-5-11","F7_CviMVP_PlDNA_2_SG_1029_1709b6fc",20,"qpcr_pl9","F7_PlDNA2","E10"
"25","CviMVP_10076","LakeFortuna_LA_2022-5-11","F9_CviMVP_PlDNA_5_SG_1030_ea0d7b30",22,"qpcr_pl20","F9_PIDNA5","E03"
"26","CviMVP_10076","LakeFortuna_LA_2022-5-11","F9_CviMVP_PlDNA_5_SG_1030_ea0d7b30",22,"qpcr_pl20","F9_PIDNA5","E04"
"27","CviMVP_10080","LakeFortuna_LA_2022-5-11","E1_CviMVP_PlDNA_3_SG_1031_1b3cca54",20,"qpcr_pl11","E1_PlDNA3","E03"
"28","CviMVP_10080","LakeFortuna_LA_2022-5-11","E1_CviMVP_PlDNA_3_SG_1031_1b3cca54",20,"qpcr_pl11","E1_PlDNA3","E04"
"29","CviMVP_10084","LakeFortuna_LA_2022-5-11","C9_CviMVP_PlDNA_2_SG_1032_6655cc76",21,"qpcr_pl10","C9_PlDNA2","C03"
"30","CviMVP_10084","LakeFortuna_LA_2022-5-11","C9_CviMVP_PlDNA_2_SG_1032_6655cc76",21,"qpcr_pl10","C9_PlDNA2","C04"
"31","CviMVP_10093","LakeFortuna_LA_2022-5-11","B1_CviMVP_PlDNA_5_SG_1034_0e0ac7d6",21,"qpcr_pl17","B1_PIDNA5","B03"
"32","CviMVP_10093","LakeFortuna_LA_2022-5-11","B1_CviMVP_PlDNA_5_SG_1034_0e0ac7d6",21,"qpcr_pl17","B1_PIDNA5","B04"
"33","CviMVP_10093","LakeFortuna_LA_2022-5-11","B1_CviMVP_PlDNA_5_SG_1034_0e0ac7d6",21,"qpcr_pl20","B1_PlDNA5","D09"
"34","CviMVP_10093","LakeFortuna_LA_2022-5-11","B1_CviMVP_PlDNA_5_SG_1034_0e0ac7d6",21,"qpcr_pl20","B1_PlDNA5","D10"
"35","CviMVP_10100","LakeFortuna_LA_2022-5-11","B12_CviMVP_PlDNA_8_SG_1036_906d5a68",20,"qpcr_pl14","B12_PIDNA8","E11"
"36","CviMVP_10100","LakeFortuna_LA_2022-5-11","B12_CviMVP_PlDNA_8_SG_1036_906d5a68",20,"qpcr_pl14","B12_PIDNA8","E12"
"37","CviMVP_10104","LakeFortuna_LA_2022-5-11","B10_CviMVP_PlDNA_5_SG_1037_baf65a49",20,"qpcr_pl3","B10_PlDNA5","B05"
"38","CviMVP_10104","LakeFortuna_LA_2022-5-11","B10_CviMVP_PlDNA_5_SG_1037_baf65a49",20,"qpcr_pl3","B10_PlDNA5","B06"
"39","CviMVP_10108","LakeFortuna_LA_2022-5-11","C10_CviMVP_PlDNA_3_SG_1038_a10f506e",22,"qpcr_pl12","C10_PIDNA3","D11"
"40","CviMVP_10108","LakeFortuna_LA_2022-5-11","C10_CviMVP_PlDNA_3_SG_1038_a10f506e",22,"qpcr_pl12","C10_PIDNA3","D12"
"41","CviMVP_10112","LakeFortuna_LA_2022-5-11","D1_CviMVP_PlDNA_3_SG_1039_1b561850",22,"qpcr_pl11","D1_PlDNA3","D03"
"42","CviMVP_10112","LakeFortuna_LA_2022-5-11","D1_CviMVP_PlDNA_3_SG_1039_1b561850",22,"qpcr_pl11","D1_PlDNA3","D04"
"43","CviMVP_10277","OL_MI_SC_2022-5-31","F2_CviMVP_PlDNA_5_SG_1041_eed5c808",22,"qpcr_pl17","F2_PIDNA5","E05"
"44","CviMVP_10277","OL_MI_SC_2022-5-31","F2_CviMVP_PlDNA_5_SG_1041_eed5c808",22,"qpcr_pl17","F2_PIDNA5","E06"
"45","CviMVP_10279","OL_MI_SC_2022-5-31","G6_CviMVP_PlDNA_10_SG_1042_f25060f5",20,"qpcr_pl2","G6_PlDNA10","G09"
"46","CviMVP_10279","OL_MI_SC_2022-5-31","G6_CviMVP_PlDNA_10_SG_1042_f25060f5",20,"qpcr_pl2","G6_PlDNA10","G10"
"47","CviMVP_10279","OL_MI_SC_2022-5-31","G6_CviMVP_PlDNA_10_SG_1042_f25060f5",20,"qpcr_pl21","G6_PlDNA10","H07"
"48","CviMVP_10279","OL_MI_SC_2022-5-31","G6_CviMVP_PlDNA_10_SG_1042_f25060f5",20,"qpcr_pl21","G6_PlDNA10","H08"
"49","CviMVP_10282","OL_MI_SC_2022-5-31","B9_CviMVP_PlDNA_3_SG_1043_a6bf86da",20,"qpcr_pl12","B9_PIDNA3","B09"
"50","CviMVP_10282","OL_MI_SC_2022-5-31","B9_CviMVP_PlDNA_3_SG_1043_a6bf86da",20,"qpcr_pl12","B9_PIDNA3","B10"
"51","CviMVP_10285","OL_MI_SC_2022-5-31","G10_CviMVP_PlDNA_8_SG_1044_2065a9df",19,"qpcr_pl14","G10_PIDNA8","D09"
"52","CviMVP_10285","OL_MI_SC_2022-5-31","G10_CviMVP_PlDNA_8_SG_1044_2065a9df",19,"qpcr_pl14","G10_PIDNA8","D10"
"53","CviMVP_10290","OL_MI_SC_2022-5-31","D6_CviMVP_PlDNA_4_SG_1046_dd6103a0",22,"qpcr_pl15","D6_PIDNA4","D07"
"54","CviMVP_10290","OL_MI_SC_2022-5-31","D6_CviMVP_PlDNA_4_SG_1046_dd6103a0",22,"qpcr_pl15","D6_PIDNA4","D08"
"55","CviMVP_10295","OL_MI_SC_2022-5-31","C1_CviMVP_PlDNA_2_SG_1048_9831ca6e",22,"qpcr_pl8","C1_PlDNA2","F07"
"56","CviMVP_10295","OL_MI_SC_2022-5-31","C1_CviMVP_PlDNA_2_SG_1048_9831ca6e",22,"qpcr_pl8","C1_PlDNA2","F08"
"57","CviMVP_10298","OL_MI_SC_2022-5-31","G1_CviMVP_PlDNA_2_SG_1049_2c29990f",20,"qpcr_pl8","G1_PlDNA2","B07"
"58","CviMVP_10298","OL_MI_SC_2022-5-31","G1_CviMVP_PlDNA_2_SG_1049_2c29990f",20,"qpcr_pl8","G1_PlDNA2","B08"
"59","CviMVP_10300","OL_MI_SC_2022-5-31","A5_CviMVP_PlDNA_2_SG_1050_f357cf40",20,"qpcr_pl9","A5_PlDNA2","A05"
"60","CviMVP_10300","OL_MI_SC_2022-5-31","A5_CviMVP_PlDNA_2_SG_1050_f357cf40",20,"qpcr_pl9","A5_PlDNA2","A06"
"61","CviMVP_10300","OL_MI_SC_2022-5-31","A5_CviMVP_PlDNA_2_SG_1050_f357cf40",20,"qpcr_pl10","A5_PlDNA2","F11"
"62","CviMVP_10300","OL_MI_SC_2022-5-31","A5_CviMVP_PlDNA_2_SG_1050_f357cf40",20,"qpcr_pl10","A5_PlDNA2","F12"
"63","CviMVP_10303","OL_MI_SC_2022-5-31","C2_CviMVP_PlDNA_3_SG_1051_b2f89cc5",18,"qpcr_pl11","C2_PlDNA3","B05"
"64","CviMVP_10303","OL_MI_SC_2022-5-31","C2_CviMVP_PlDNA_3_SG_1051_b2f89cc5",18,"qpcr_pl11","C2_PlDNA3","B06"
"65","CviMVP_10305","OL_MI_SC_2022-5-31","D8_CviMVP_PlDNA_6_SG_1052_c46c4085",18,"qpcr_pl20","D8_PIDNA6","B07"
"66","CviMVP_10305","OL_MI_SC_2022-5-31","D8_CviMVP_PlDNA_6_SG_1052_c46c4085",18,"qpcr_pl20","D8_PIDNA6","B08"
"67","CviMVP_10308","OL_MI_SC_2022-5-31","F12_CviMVP_PlDNA_8_SG_1053_950c6b7a",20,"qpcr_pl14","F12_PIDNA8","F11"
"68","CviMVP_10308","OL_MI_SC_2022-5-31","F12_CviMVP_PlDNA_8_SG_1053_950c6b7a",20,"qpcr_pl14","F12_PIDNA8","F12"
"69","CviMVP_10311","OL_MI_SC_2022-5-31","H5_CviMVP_PlDNA_2_SG_1054_bb651ac2",22,"qpcr_pl9","H5_PlDNA2","H05"
"70","CviMVP_10311","OL_MI_SC_2022-5-31","H5_CviMVP_PlDNA_2_SG_1054_bb651ac2",22,"qpcr_pl9","H5_PlDNA2","H06"
"71","CviMVP_10311","OL_MI_SC_2022-5-31","H5_CviMVP_PlDNA_2_SG_1054_bb651ac2",22,"qpcr_pl10","H5_PlDNA2","E11"
"72","CviMVP_10311","OL_MI_SC_2022-5-31","H5_CviMVP_PlDNA_2_SG_1054_bb651ac2",22,"qpcr_pl10","H5_PlDNA2","E12"
"73","CviMVP_10319","OL_MI_SC_2022-5-31","B1_CviMVP_PlDNA_4_SG_1057_08412b0c",20,"qpcr_pl13","B1_PIDNA4","B07"
"74","CviMVP_10319","OL_MI_SC_2022-5-31","B1_CviMVP_PlDNA_4_SG_1057_08412b0c",20,"qpcr_pl13","B1_PIDNA4","B08"
"75","CviMVP_10332","OL_MI_SC_2022-5-31","A6_CviMVP_PlDNA_2_SG_1061_0b870f2b",20,"qpcr_pl9","A6_PlDNA2","A07"
"76","CviMVP_10332","OL_MI_SC_2022-5-31","A6_CviMVP_PlDNA_2_SG_1061_0b870f2b",20,"qpcr_pl9","A6_PlDNA2","A08"
"77","CviMVP_10338","OL_MI_SC_2022-5-31","H3_CviMVP_PlDNA_4_SG_1063_18b59709",20,"qpcr_pl16","H3_PIDNA4","H07"
"78","CviMVP_10338","OL_MI_SC_2022-5-31","H3_CviMVP_PlDNA_4_SG_1063_18b59709",20,"qpcr_pl16","H3_PIDNA4","H08"
"79","CviMVP_10341","OL_MI_SC_2022-5-31","F7_CviMVP_PlDNA_4_SG_1064_8a94aafd",20,"qpcr_pl15","F7_PIDNA4","E09"
"80","CviMVP_10341","OL_MI_SC_2022-5-31","F7_CviMVP_PlDNA_4_SG_1064_8a94aafd",20,"qpcr_pl15","F7_PIDNA4","E10"
"81","CviMVP_10347","OL_MI_SC_2022-5-31","D9_CviMVP_PlDNA_4_SG_1066_01e3c4d8",22,"qpcr_pl16","D9_PIDNA4","D03"
"82","CviMVP_10347","OL_MI_SC_2022-5-31","D9_CviMVP_PlDNA_4_SG_1066_01e3c4d8",22,"qpcr_pl16","D9_PIDNA4","D04"
"83","CviMVP_10349","OL_MI_SC_2022-5-31","F9_CviMVP_PlDNA_9_SG_1067_8d996fb4",20,"qpcr_pl18","F9_PIDNA9","D09"
"84","CviMVP_10349","OL_MI_SC_2022-5-31","F9_CviMVP_PlDNA_9_SG_1067_8d996fb4",20,"qpcr_pl18","F9_PIDNA9","D10"
"85","CviMVP_10349","OL_MI_SC_2022-5-31","F9_CviMVP_PlDNA_9_SG_1067_8d996fb4",20,"qpcr_pl22","F9_PlDNA9","G03"
"86","CviMVP_10349","OL_MI_SC_2022-5-31","F9_CviMVP_PlDNA_9_SG_1067_8d996fb4",20,"qpcr_pl22","F9_PlDNA9","G04"
"87","CviMVP_10349","OL_MI_SC_2022-5-31","G3_CviMVP_PlDNA_10_SG_1067_8d996fb4",20,"qpcr_pl2","G3_PlDNA10","G03"
"88","CviMVP_10349","OL_MI_SC_2022-5-31","G3_CviMVP_PlDNA_10_SG_1067_8d996fb4",20,"qpcr_pl2","G3_PlDNA10","G04"
"89","CviMVP_10360","GalBay_TX_2022-6-2","D6_CviMVP_PlDNA_6_SG_1071_6e238e9e",18,"qpcr_pl20","D6_PIDNA6","F05"
"90","CviMVP_10360","GalBay_TX_2022-6-2","D6_CviMVP_PlDNA_6_SG_1071_6e238e9e",18,"qpcr_pl20","D6_PIDNA6","F06"
"91","CviMVP_10363","GalBay_TX_2022-6-2","B10_CviMVP_PlDNA_9_SG_1072_ecf788f5",18,"qpcr_pl18","B10_PIDNA9","C11"
"92","CviMVP_10363","GalBay_TX_2022-6-2","B10_CviMVP_PlDNA_9_SG_1072_ecf788f5",18,"qpcr_pl18","B10_PIDNA9","C12"
"93","CviMVP_10366","GalBay_TX_2022-6-2","G2_CviMVP_PlDNA_9_SG_1073_bd1c4a4b",19,"qpcr_pl18","G2_PIDNA9","G05"
"94","CviMVP_10366","GalBay_TX_2022-6-2","G2_CviMVP_PlDNA_9_SG_1073_bd1c4a4b",19,"qpcr_pl18","G2_PIDNA9","G06"
"95","CviMVP_10369","GalBay_TX_2022-6-2","C4_CviMVP_PlDNA_5_SG_1074_66a12ae0",18,"qpcr_pl17","C4_PIDNA5","C09"
"96","CviMVP_10369","GalBay_TX_2022-6-2","C4_CviMVP_PlDNA_5_SG_1074_66a12ae0",18,"qpcr_pl17","C4_PIDNA5","C10"
"97","CviMVP_10376","GalBay_TX_2022-6-2","E12_CviMVP_PlDNA_4_SG_1076_abb1ae0b",20,"qpcr_pl16","E12_PIDNA4","E09"
"98","CviMVP_10376","GalBay_TX_2022-6-2","E12_CviMVP_PlDNA_4_SG_1076_abb1ae0b",20,"qpcr_pl16","E12_PIDNA4","E10"
"99","CviMVP_10385","GalBay_TX_2022-6-2","E8_CviMVP_PlDNA_4_SG_1079_865600c1",19,"qpcr_pl15","E8_PIDNA4","F11"
