Plate,Well,Fluor,Content,Cq,Cq_Mean,SQ_Mean,Pathogen,clean_ID,Vial_Label,ID_SiteDate,mg_tissue,sample_id_for_grouping,sample_pathogen,replicate,cq_difference,status,need_rerun,weighted_sq,intensity,status_dermo,intensity_dermo
1,A05,FAM,Unkn-17,30.42,30.23,0,Dermo,A4_CviMVP_PlDNA_9_SG_1228_f84802b3,CviMVP_10766,TP_TX_2022-6-28,21,A4_CviMVP_PlDNA_9_SG_1228_f84802b3,1_A4_CviMVP_PlDNA_9_SG_1228_f84802b3_Dermo,1,0.37,Positive,FALSE,0,0,Positive,1
1,A07,FAM,Unkn-25,31.87,32.04,0,Dermo,A5_CviMVP_PlDNA_9_SG_2051_8fd6c592,CviMVP_15170,EC_ApBay_FL_2023-10-4,20,A5_CviMVP_PlDNA_9_SG_2051_8fd6c592,1_A5_CviMVP_PlDNA_9_SG_2051_8fd6c592_Dermo,1,0.34,Positive,FALSE,0,0,Positive,1
1,A09,FAM,Unkn-33,30.12,30.15,0,Dermo,A6_CviMVP_PlDNA_9_SG_2061_4151017c,CviMVP_15200,EC_ApBay_FL_2023-10-4,21,A6_CviMVP_PlDNA_9_SG_2061_4151017c,1_A6_CviMVP_PlDNA_9_SG_2061_4151017c_Dermo,1,0.06,Positive,FALSE,0,0,Positive,1
1,B03,FAM,Unkn-10,21.28,21.53,7e-05,Dermo,B3_CviMVP_PlDNA_9_SG_2073_c2b8621b,CviMVP_130791,FC_LIS_CT_2023-10-11,19,B3_CviMVP_PlDNA_9_SG_2073_c2b8621b,1_B3_CviMVP_PlDNA_9_SG_2073_c2b8621b_Dermo,1,0.5,Positive,FALSE,25691.75368,3,Positive,3
1,B07,FAM,Unkn-26,25.32,25.44,1e-05,Dermo,B5_CviMVP_PlDNA_9_SG_1315_bbdc8fb5,CviMVP_11015,Mer_GA_2022-7-26,21,B5_CviMVP_PlDNA_9_SG_1315_bbdc8fb5,1_B5_CviMVP_PlDNA_9_SG_1315_bbdc8fb5_Dermo,1,0.23,Positive,FALSE,3320.702857,2,Positive,1
1,B09,FAM,Unkn-34,26.51,26.51,0,Dermo,B6_CviMVP_PlDNA_9_SG_1975_b2a7e292,CviMVP_12944,FFJ_CF_NC_2023-7-19,20,B6_CviMVP_PlDNA_9_SG_1975_b2a7e292,1_B6_CviMVP_PlDNA_9_SG_1975_b2a7e292_Dermo,1,0.01,Positive,FALSE,0,0,Positive,1
1,B11,FAM,Unkn-42,28.2,28.34,0,Dermo,B7_CviMVP_PlDNA_9_SG_1941_5582645b,CviMVP_12843,UNCW_MS_NC_2023-7-17,22,B7_CviMVP_PlDNA_9_SG_1941_5582645b,1_B7_CviMVP_PlDNA_9_SG_1941_5582645b_Dermo,1,0.27,Positive,FALSE,0,0,Positive,1
1,C03,FAM,Unkn-11,28.35,28.17,0,Dermo,C3_CviMVP_PlDNA_9_SG_2065_727d1736,CviMVP_130551,IL_ApBay_FL_2023-10-3,22,C3_CviMVP_PlDNA_9_SG_2065_727d1736,1_C3_CviMVP_PlDNA_9_SG_2065_727d1736_Dermo,1,0.36,Positive,FALSE,0,0,Positive,1
1,C05,FAM,Unkn-19,30.37,30.07,0,Dermo,C4_CviMVP_PlDNA_9_SG_1149_75628f53,CviMVP_10554,FP_Sav_GA_2022-6-10,20,C4_CviMVP_PlDNA_9_SG_1149_75628f53,1_C4_CviMVP_PlDNA_9_SG_1149_75628f53_Dermo,1,0.61,Positive,FALSE,0,0,Positive,1
1,C07,FAM,Unkn-27,21.55,21.62,7e-05,Dermo,C5_CviMVP_PlDNA_9_SG_1323_be0b8284,CviMVP_11039,Mer_GA_2022-7-26,19,C5_CviMVP_PlDNA_9_SG_1323_be0b8284,1_C5_CviMVP_PlDNA_9_SG_1323_be0b8284_Dermo,1,0.14,Positive,FALSE,25691.75368,3,Positive,3
1,C09,FAM,Unkn-35,28.47,28.55,0,Dermo,C6_CviMVP_PlDNA_9_SG_2012_f47e7f81,CviMVP_15055,AC_LIS_CT_2023-10-3,19,C6_CviMVP_PlDNA_9_SG_2012_f47e7f81,1_C6_CviMVP_PlDNA_9_SG_2012_f47e7f81_Dermo,1,0.15,Positive,FALSE,0,0,Positive,1
1,D03,FAM,Unkn-12,31.78,31.45,0,Dermo,D3_CviMVP_PlDNA_9_SG_1230_2ae16b20,CviMVP_10772,CC_VA_2022-7-11,22,D3_CviMVP_PlDNA_9_SG_1230_2ae16b20,1_D3_CviMVP_PlDNA_9_SG_1230_2ae16b20_Dermo,1,0.67,Positive,FALSE,0,0,Positive,1
1,D05,FAM,Unkn-20,26.56,26.17,0,Dermo,D4_CviMVP_PlDNA_9_SG_2005_7864d4b8,CviMVP_130341,AC_LIS_CT_2023-10-3,22,D4_CviMVP_PlDNA_9_SG_2005_7864d4b8,1_D4_CviMVP_PlDNA_9_SG_2005_7864d4b8_Dermo,1,0.79,Positive,FALSE,0,0,Positive,1
1,D09,FAM,Unkn-36,31.96,32.17,0,Dermo,D6_CviMVP_PlDNA_9_SG_1174_ee66e4d4,CviMVP_10613,SkR_GA_2022-6-14,18,D6_CviMVP_PlDNA_9_SG_1174_ee66e4d4,1_D6_CviMVP_PlDNA_9_SG_1174_ee66e4d4_Dermo,1,0.41,Positive,FALSE,0,0,Positive,1
1,E05,FAM,Unkn-21,28.75,28.16,0,Dermo,E4_CviMVP_PlDNA_9_SG_1595_bc82001d,CviMVP_11826,KP_FGR_FL_2022-8-23,19,E4_CviMVP_PlDNA_9_SG_1595_bc82001d,1_E4_CviMVP_PlDNA_9_SG_1595_bc82001d_Dermo,1,1.17,Positive,FALSE,0,0,Positive,1
1,F03,FAM,Unkn-14,29.5,29.22,0,Dermo,F3_CviMVP_PlDNA_9_SG_2099_8f119d72,CviMVP_131571,FC_LIS_CT_2023-10-11,20,F3_CviMVP_PlDNA_9_SG_2099_8f119d72,1_F3_CviMVP_PlDNA_9_SG_2099_8f119d72_Dermo,1,0.56,Positive,FALSE,0,0,Positive,1
1,F05,FAM,Unkn-22,21.14,21.18,9e-05,Dermo,F4_CviMVP_PlDNA_9_SG_2086_90eb25bf,CviMVP_131181,FC_LIS_CT_2023-10-11,22,F4_CviMVP_PlDNA_9_SG_2086_90eb25bf,1_F4_CviMVP_PlDNA_9_SG_2086_90eb25bf_Dermo,1,0.09,Positive,FALSE,28527.85636,3,Positive,3
1,F07,FAM,Unkn-30,28.73,28.79,0,Dermo,F5_CviMVP_PlDNA_9_SG.sharedLotterhosPuritz_1507_bc4a0c29,CviMVP_11570,NR_NB_RI_2022-8-19,19,F5_CviMVP_PlDNA_9_SG.sharedLotterhosPuritz_1507_bc4a0c29,1_F5_CviMVP_PlDNA_9_SG.sharedLotterhosPuritz_1507_bc4a0c29_Dermo,1,0.12,Positive,FALSE,0,0,Positive,1
1,G03,FAM,Unkn-15,22.74,22.34,4e-05,Dermo,G3_CviMVP_PlDNA_9_SG_2095_d4b38e21,CviMVP_131451,FC_LIS_CT_2023-10-11,19,G3_CviMVP_PlDNA_9_SG_2095_d4b38e21,1_G3_CviMVP_PlDNA_9_SG_2095_d4b38e21_Dermo,1,0.8,Positive,FALSE,14681.00211,3,Positive,3
1,G05,FAM,Unkn-23,36.29,35.84,0,Dermo,G4_CviMVP_PlDNA_9_SG_1904_a0ecfc23,CviMVP_12733,Orrs_Cove_ME_2022-10-31,22,G4_CviMVP_PlDNA_9_SG_1904_a0ecfc23,1_G4_CviMVP_PlDNA_9_SG_1904_a0ecfc23_Dermo,1,0.89,Positive,FALSE,0,0,Positive,1
1,G07,FAM,Unkn-31,27.69,27.81,0,Dermo,G5_CviMVP_PlDNA_9_SG_2076_10d3cadc,CviMVP_130881,FC_LIS_CT_2023-10-11,22,G5_CviMVP_PlDNA_9_SG_2076_10d3cadc,1_G5_CviMVP_PlDNA_9_SG_2076_10d3cadc_Dermo,1,0.23,Positive,FALSE,0,0,Positive,1
1,H03,FAM,Unkn-16,38.27,38.67,0,Dermo,H3_CviMVP_PlDNA_9_SG_1933_203e3d9f,CviMVP_12818,UNCW_MS_NC_2023-7-17,20,H3_CviMVP_PlDNA_9_SG_1933_203e3d9f,1_H3_CviMVP_PlDNA_9_SG_1933_203e3d9f_Dermo,1,0.81,Positive,FALSE,0,0,Negative,0
1,H05,FAM,Unkn-24,34.08,33.46,0,Dermo,H4_CviMVP_PlDNA_9_SG_2026_d4e67cae,CviMVP_15097,IL_ApBay_FL_2023-10-3,22,H4_CviMVP_PlDNA_9_SG_2026_d4e67cae,1_H4_CviMVP_PlDNA_9_SG_2026_d4e67cae_Dermo,1,1.24,Positive,FALSE,0,0,Positive,1
1,H09,FAM,Unkn-40,25.86,25.84,0,Dermo,H6_CviMVP_PlDNA_9_SG_1997_cb99d215,CviMVP_130101,AC_LIS_CT_2023-10-3,18,H6_CviMVP_PlDNA_9_SG_1997_cb99d215,1_H6_CviMVP_PlDNA_9_SG_1997_cb99d215_Dermo,1,0.03,Positive,FALSE,0,0,Positive,1
2,A03,FAM,Unkn-09,26.42,26.62,0,Dermo,A3_CviMVP_PlDNA_10_SG_2036_b141fc51,CviMVP_15125,EC_ApBay_FL_2023-10-4,20,A3_CviMVP_PlDNA_10_SG_2036_b141fc51,2_A3_CviMVP_PlDNA_10_SG_2036_b141fc51_Dermo,1,0.39,Positive,FALSE,0,0,Positive,1
2,A09,FAM,Unkn-33,23.47,23.54,1e-05,Dermo,A6_CviMVP_PlDNA_10_SG.sharedLotterhosPuritz_1743_a99589c6,CviMVP_12262,WS_CB_VA_2022-10-7,20,A6_CviMVP_PlDNA_10_SG.sharedLotterhosPuritz_1743_a99589c6,2_A6_CviMVP_PlDNA_10_SG.sharedLotterhosPuritz_1743_a99589c6_Dermo,1,0.14,Positive,FALSE,3486.738,2,Positive,2
