"Population","Pathogen","Total_Samples","Positive_Samples","Negative_Samples","Prevalence","Total_Intensity","Average_Intensity","Weighted_Prevalence"
"TP_TX_2022-6-28","Dermo",13,6,7,0.4615,6,1,0.4615
"EC_ApBay_FL_2023-10-4","Dermo",19,16,3,0.8421,21,1.3125,1.1053
"FC_LIS_CT_2023-10-11","Dermo",19,19,0,1,38,2,2
"Mer_GA_2022-7-26","Dermo",20,14,6,0.7,22,1.5714,1.1
"FFJ_CF_NC_2023-7-19","Dermo",17,15,2,0.8824,18,1.2,1.0588
"UNCW_MS_NC_2023-7-17","Dermo",18,10,8,0.5556,13,1.3,0.7222
"IL_ApBay_FL_2023-10-3","Dermo",18,11,7,0.6111,16,1.4545,0.8889
"FP_Sav_GA_2022-6-10","Dermo",19,9,10,0.4737,13,1.4444,0.6842
"AC_LIS_CT_2023-10-3","Dermo",18,18,0,1,26,1.4444,1.4444
"CC_VA_2022-7-11","Dermo",18,13,5,0.7222,15,1.1538,0.8333
"SkR_GA_2022-6-14","Dermo",17,9,8,0.5294,12,1.3333,0.7059
"KP_FGR_FL_2022-8-23","Dermo",19,15,4,0.7895,22,1.4667,1.1579
"NR_NB_RI_2022-8-19","Dermo",17,15,2,0.8824,22,1.4667,1.2941
"Orrs_Cove_ME_2022-10-31","Dermo",16,1,15,0.0625,2,2,0.125
"WS_CB_VA_2022-10-7","Dermo",20,19,1,0.95,34,1.7895,1.7
"EelLake_Canada_2022-9-27","Dermo",14,0,14,0,0,0,0
"DC_DR_ME_2022-10-25","Dermo",16,0,16,0,0,0,0
"Culch_Ba_LA_2022-6-21","Dermo",13,2,11,0.1538,2,1,0.1538
"CB_TX_2022-6-9","Dermo",15,6,9,0.4,7,1.1667,0.4667
"Nickle_Rf_LA_2022-8-1","Dermo",16,0,16,0,0,0,0
"Cal_Lake_LA_2022-8-11","Dermo",18,11,7,0.6111,16,1.4545,0.8889
"Sister_Lk_LA_2022-8-9","Dermo",18,3,15,0.1667,4,1.3333,0.2222
"GriceCove_SC_2022-8-10","Dermo",19,13,6,0.6842,28,2.1538,1.4737
"OL_MI_SC_2022-5-31","Dermo",16,12,4,0.75,16,1.3333,1
"SR_GB_NH_2022-8-12","Dermo",16,11,5,0.6875,16,1.4545,1
"SawIs_MA_2022-9-5","Dermo",20,18,2,0.9,28,1.5556,1.4
"CS_DB_NJ_2022-9-21","Dermo",14,3,11,0.2143,4,1.3333,0.2857
"PrEdIs_CN_A_2022-10-18","Dermo",17,0,17,0,0,0,0
"CPR_MS_AL_2022-8-24","Dermo",16,3,13,0.1875,5,1.6667,0.3125
"HC_DB_NJ_2022-9-23","Dermo",13,0,13,0,0,0,0
"NPS_PS_NC_2022-10-12","Dermo",19,16,3,0.8421,20,1.25,1.0526
"SaLa_GA_2022-10-5","Dermo",19,18,1,0.9474,36,2,1.8947
"LCP_UP_MD_2022-10-20","Dermo",14,3,11,0.2143,4,1.3333,0.2857
"DC_NB_RI_2022-8-19","Dermo",18,15,3,0.8333,19,1.2667,1.0556
"DWS_CB_VA_2022-10-7","Dermo",13,1,12,0.0769,2,2,0.1538
"GalBay_TX_2022-6-2","Dermo",13,2,11,0.1538,2,1,0.1538
"SaltBay_Canada_2022-9-27","Dermo",15,0,15,0,0,0,0
"Sapelo_Is_GA_2022-7-17","Dermo",13,8,5,0.6154,14,1.75,1.0769
"LakeFortuna_LA_2022-5-11","Dermo",12,0,12,0,0,0,0
"LM_TX_2022-7-10","Dermo",1,1,0,1,1,1,1
"TP_TX_2022-6-28","MSX",15,0,15,0,0,0,0
"EC_ApBay_FL_2023-10-4","MSX",18,1,17,0.0556,1,1,0.0556
