,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A03,FAM,,Unkn-01,,,38.35,38.04,0.437,0.00000,-8.384,0.00000,0.00000,60.0,
,A04,FAM,,Unkn-01,,,37.73,38.04,0.437,0.00000,-8.235,0.00000,0.00000,60.0,
,A05,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A06,FAM,,Unkn-09,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A07,FAM,,Unkn-17,,,37.89,37.61,0.397,0.00000,-8.275,0.00000,0.00000,60.0,
,A08,FAM,,Unkn-17,,,37.33,37.61,0.397,0.00000,-8.140,0.00000,0.00000,60.0,
,A09,FAM,,Unkn-25,,,36.38,36.76,0.527,0.00000,-7.912,0.00000,0.00000,60.0,
,A10,FAM,,Unkn-25,,,37.13,36.76,0.527,0.00000,-8.091,0.00000,0.00000,60.0,
,A11,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,FAM,,NTC,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B01,FAM,,Std-02,,,11.84,11.68,0.227,0.01000,-2.000,0.01000,0.00000,60.0,
,B02,FAM,,Std-02,,,11.52,11.68,0.227,0.01000,-2.000,0.01000,0.00000,60.0,
,B03,FAM,,Unkn-02,,,24.30,24.25,0.074,0.00001,-5.001,0.00001,0.00000,60.0,
,B04,FAM,,Unkn-02,,,24.20,24.25,0.074,0.00001,-4.976,0.00001,0.00000,60.0,
,B05,FAM,,Unkn-10,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B06,FAM,,Unkn-10,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,B07,FAM,,Unkn-18,,,23.36,23.30,0.087,0.00002,-4.774,0.00002,0.00000,60.0,
,B08,FAM,,Unkn-18,,,23.24,23.30,0.087,0.00002,-4.744,0.00002,0.00000,60.0,
,B09,FAM,,Unkn-26,,,32.96,32.91,0.067,0.00000,-7.087,0.00000,0.00000,60.0,
,B10,FAM,,Unkn-26,,,32.87,32.91,0.067,0.00000,-7.064,0.00000,0.00000,60.0,
,B11,FAM,,Unkn-33,,,38.64,39.23,0.825,0.00000,-8.456,0.00000,0.00000,60.0,
,B12,FAM,,Unkn-33,,,39.81,39.23,0.825,0.00000,-8.737,0.00000,0.00000,60.0,
,C03,FAM,,Unkn-03,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,C04,FAM,,Unkn-03,,,38.42,38.42,0.000,0.00000,-8.402,0.00000,0.00000,60.0,
