plate_extraction_key,PlateDate_Key,PlateDate_Label,Well,mg_tissue,Vial_Label_Check,plate_extract_notes,Username,PlateRow,PlateCol,Extraction_plan_Key,Extraction_plan_Label
10b4439e,3f31d197,CviMVP_PlDNA_1_20230315,A1,22,CviMVP_11777,,nicole.mongillo28@gmail.com,A,1,visrgmt9,A1_CviMVP_PlDNA_1__SG_1578__ce10073c
0e59dd9a,3f31d197,CviMVP_PlDNA_1_20230315,B1,19,CviMVP_11906,,nicole.mongillo28@gmail.com,B,1,qcas7nkm,B1_CviMVP_PlDNA_1__SG_1622__8952d237
806f5427,3f31d197,CviMVP_PlDNA_1_20230315,C1,22,CviMVP_10486,,nicole.mongillo28@gmail.com,C,1,6u3padpl,C1_CviMVP_PlDNA_1__SG_1120__814ca307
6d163d18,3f31d197,CviMVP_PlDNA_1_20230315,D1,21,CviMVP_11440,,nicole.mongillo28@gmail.com,D,1,8d5uhb6x,D1_CviMVP_PlDNA_1__SG_1463__32cff799
aad72227,3f31d197,CviMVP_PlDNA_1_20230315,E1,22,CviMVP_12279,,nicole.mongillo28@gmail.com,E,1,9ahqwszz,E1_CviMVP_PlDNA_1__SG-sharedLotterhosPuritz_1749__1339c6df
4d15f0bc,3f31d197,CviMVP_PlDNA_1_20230315,F1,20,CviMVP_11856,,nicole.mongillo28@gmail.com,F,1,ugl1bikp,F1_CviMVP_PlDNA_1__SG_1605__a0a8cbba
9c4c4a99,3f31d197,CviMVP_PlDNA_1_20230315,G1,19,CviMVP_11773,,nicole.mongillo28@gmail.com,G,1,ayhsnivn,G1_CviMVP_PlDNA_1__SG_1576__50e361db
3036d82c,3f31d197,CviMVP_PlDNA_1_20230315,H1,21,CviMVP_11873,,nicole.mongillo28@gmail.com,H,1,atd00aa0,H1_CviMVP_PlDNA_1__SG_1611__a218009b
4ad53143,3f31d197,CviMVP_PlDNA_1_20230315,A2,21,CviMVP_10836,,nicole.mongillo28@gmail.com,A,2,n9dr1azp,A2_CviMVP_PlDNA_1__SG_1252__dcaed37c
f809acca,3f31d197,CviMVP_PlDNA_1_20230315,B2,21,CviMVP_11405,,nicole.mongillo28@gmail.com,B,2,3uvie41q,B2_CviMVP_PlDNA_1__SG_1451__5767505c
55583983,3f31d197,CviMVP_PlDNA_1_20230315,C2,21,CviMVP_11850,,nicole.mongillo28@gmail.com,C,2,jbiiamz3,C2_CviMVP_PlDNA_1__SG_1603__f868f1b7
35a5ff2c,3f31d197,CviMVP_PlDNA_1_20230315,D2,20,CviMVP_11246,,nicole.mongillo28@gmail.com,D,2,xf2u48md,D2_CviMVP_PlDNA_1__SG_1393__6e3e8ad0
198c1fc4,3f31d197,CviMVP_PlDNA_1_20230315,E2,22,CviMVP_11912,,nicole.mongillo28@gmail.com,E,2,2c1hm4mm,E2_CviMVP_PlDNA_1__SG_1624__f59660b5
21971aa8,3f31d197,CviMVP_PlDNA_1_20230315,F2,20,CviMVP_11249,,nicole.mongillo28@gmail.com,F,2,0jtwz5i5,F2_CviMVP_PlDNA_1__SG_1394__cd8aba4f
e48384e8,3f31d197,CviMVP_PlDNA_1_20230315,G2,22,CviMVP_11431,,nicole.mongillo28@gmail.com,G,2,wo2qc3io,G2_CviMVP_PlDNA_1__SG_1460__2e2fcbcb
dfebfa09,3f31d197,CviMVP_PlDNA_1_20230315,H2,22,CviMVP_10839,,nicole.mongillo28@gmail.com,H,2,6zvdj853,H2_CviMVP_PlDNA_1__SG_1253__50c2953b
47889f6d,3f31d197,CviMVP_PlDNA_1_20230315,A3,18,CviMVP_10450,,nicole.mongillo28@gmail.com,A,3,k19sd8z3,A3_CviMVP_PlDNA_1__SG_1103__107ab9bb
7b1543a4,3f31d197,CviMVP_PlDNA_1_20230315,B3,21,CviMVP_10775,,nicole.mongillo28@gmail.com,B,3,tkwu1nn1,B3_CviMVP_PlDNA_1__SG_1231__b33de568
09a725fa,3f31d197,CviMVP_PlDNA_1_20230315,C3,19,CviMVP_11258,,nicole.mongillo28@gmail.com,C,3,n284ilqy,C3_CviMVP_PlDNA_1__SG_1397__c67e0a12
934f7805,3f31d197,CviMVP_PlDNA_1_20230315,D3,21,CviMVP_11391,,nicole.mongillo28@gmail.com,D,3,qpyyvksc,D3_CviMVP_PlDNA_1__SG_1446__7577ead5
1539dc46,3f31d197,CviMVP_PlDNA_1_20230315,E3,18,CviMVP_11423,,nicole.mongillo28@gmail.com,E,3,01uhg1mq,E3_CviMVP_PlDNA_1__SG_1457__1069de49
26584bbb,3f31d197,CviMVP_PlDNA_1_20230315,F3,20,CviMVP_11487,,nicole.mongillo28@gmail.com,F,3,mpv9djfd,F3_CviMVP_PlDNA_1__SG_1479__eda1bcef
83d86ed1,3f31d197,CviMVP_PlDNA_1_20230315,G3,18,CviMVP_12282,,nicole.mongillo28@gmail.com,G,3,p0yu58ft,G3_CviMVP_PlDNA_1__SG-sharedLotterhosPuritz_1750__c3f4dbef
7f5f3fa7,3f31d197,CviMVP_PlDNA_1_20230315,H3,21,CviMVP_11799,,nicole.mongillo28@gmail.com,H,3,7eegrfle,H3_CviMVP_PlDNA_1__SG_1586__8fe62d94
cc06f462,3f31d197,CviMVP_PlDNA_1_20230315,A4,20,CviMVP_11252,,nicole.mongillo28@gmail.com,A,4,d4559wr8,A4_CviMVP_PlDNA_1__SG_1395__7c3f2e88
cf455226,3f31d197,CviMVP_PlDNA_1_20230315,B4,20,CviMVP_10446,,nicole.mongillo28@gmail.com,B,4,qlb0h5ec,B4_CviMVP_PlDNA_1__SG_1101__beea8384
d3e184ed,3f31d197,CviMVP_PlDNA_1_20230315,C4,19,CviMVP_10804,,nicole.mongillo28@gmail.com,C,4,o6ps4er0,C4_CviMVP_PlDNA_1__SG_1241__ec5d53a6
e66ae907,3f31d197,CviMVP_PlDNA_1_20230315,D4,21,CviMVP_11343,,nicole.mongillo28@gmail.com,D,4,h83vyeeb,D4_CviMVP_PlDNA_1__SG_1430__2848cce4
800958a3,3f31d197,CviMVP_PlDNA_1_20230315,E4,19,CviMVP_10498,,nicole.mongillo28@gmail.com,E,4,effxhbqt,E4_CviMVP_PlDNA_1__SG_1126__c5ba762d
24cdedd5,3f31d197,CviMVP_PlDNA_1_20230315,F4,20,CviMVP_11202,,nicole.mongillo28@gmail.com,F,4,cw50mngp,F4_CviMVP_PlDNA_1__SG_1378__32091231
63978c68,3f31d197,CviMVP_PlDNA_1_20230315,G4,21,CviMVP_11364,,nicole.mongillo28@gmail.com,G,4,na4adxpq,G4_CviMVP_PlDNA_1__SG_1434__384f3ae3
d47a3ac7,3f31d197,CviMVP_PlDNA_1_20230315,H4,20,CviMVP_11402,,nicole.mongillo28@gmail.com,H,4,jxt4ddno,H4_CviMVP_PlDNA_1__SG_1450__eda1774a
e6773dfc,3f31d197,CviMVP_PlDNA_1_20230315,A5,21,CviMVP_11370,,nicole.mongillo28@gmail.com,A,5,2dw81h0a,A5_CviMVP_PlDNA_1__SG_1439__4d1e45dd
0224fa39,3f31d197,CviMVP_PlDNA_1_20230315,B5,19,CviMVP_11367,,nicole.mongillo28@gmail.com,B,5,dwkaujhu,B5_CviMVP_PlDNA_1__SG_1438__ef798fa4
2e54458e,3f31d197,CviMVP_PlDNA_1_20230315,C5,20,CviMVP_12681,,nicole.mongillo28@gmail.com,C,5,huudxyp2,C5_CviMVP_PlDNA_1__SG_1886__e867e0c6
05901b2e,3f31d197,CviMVP_PlDNA_1_20230315,D5,19,CviMVP_11758,,nicole.mongillo28@gmail.com,D,5,66ejrrfo,D5_CviMVP_PlDNA_1__SG_1570__998e65c4
a90a583f,3f31d197,CviMVP_PlDNA_1_20230315,E5,22,CviMVP_11472,,nicole.mongillo28@gmail.com,E,5,efsnzvui,E5_CviMVP_PlDNA_1__SG_1474__bce74bb8
f1289f47,3f31d197,CviMVP_PlDNA_1_20230315,F5,21,CviMVP_11211,,nicole.mongillo28@gmail.com,F,5,y8kmfpdb,F5_CviMVP_PlDNA_1__SG_1381__205acadd
e0691263,3f31d197,CviMVP_PlDNA_1_20230315,G5,18,CviMVP_10488,,nicole.mongillo28@gmail.com,G,5,gb879r47,G5_CviMVP_PlDNA_1__SG_1121__e44e1e24
f8874202,3f31d197,CviMVP_PlDNA_1_20230315,H5,21,CviMVP_11788,,nicole.mongillo28@gmail.com,H,5,clhoj0vi,H5_CviMVP_PlDNA_1__SG_1582__4d5c48a7
5d6dfb2a,3f31d197,CviMVP_PlDNA_1_20230315,A6,20,CviMVP_11237,,nicole.mongillo28@gmail.com,A,6,off2520l,A6_CviMVP_PlDNA_1__SG_1390__c6755537
513f15eb,3f31d197,CviMVP_PlDNA_1_20230315,B6,21,CviMVP_11469,,nicole.mongillo28@gmail.com,B,6,q7hwp16o,B6_CviMVP_PlDNA_1__SG_1473__6075f53c
933a539d,3f31d197,CviMVP_PlDNA_1_20230315,C6,18,CviMVP_12357,,nicole.mongillo28@gmail.com,C,6,77phudw9,C6_CviMVP_PlDNA_1__SG-sharedLotterhosPuritz_1775__e5ce5c0f
233cc30e,3f31d197,CviMVP_PlDNA_1_20230315,D6,22,CviMVP_12692,,nicole.mongillo28@gmail.com,D,6,bh77dslk,D6_CviMVP_PlDNA_1__SG_1890__37209564
83798bbd,3f31d197,CviMVP_PlDNA_1_20230315,E6,22,CviMVP_11243,,nicole.mongillo28@gmail.com,E,6,0pwvb4ei,E6_CviMVP_PlDNA_1__SG_1392__6133f015
ee14515c,3f31d197,CviMVP_PlDNA_1_20230315,F6,19,CviMVP_12666,,nicole.mongillo28@gmail.com,F,6,euky129o,F6_CviMVP_PlDNA_1__SG_1881__ef2db062
7316fd4a,3f31d197,CviMVP_PlDNA_1_20230315,G6,20,CviMVP_11864,,nicole.mongillo28@gmail.com,G,6,23h61z05,G6_CviMVP_PlDNA_1__SG_1608__de738593
c93757f5,3f31d197,CviMVP_PlDNA_1_20230315,H6,18,CviMVP_11755,,nicole.mongillo28@gmail.com,H,6,sx7gmjvt,H6_CviMVP_PlDNA_1__SG_1569__7b632b7c
a9bde3ff,3f31d197,CviMVP_PlDNA_1_20230315,A7,20,CviMVP_12336,,nicole.mongillo28@gmail.com,A,7,7h54gj99,A7_CviMVP_PlDNA_1__SG-sharedLotterhosPuritz_1768__5fe305a2
a52aea70,3f31d197,CviMVP_PlDNA_1_20230315,B7,19,CviMVP_11454,,nicole.mongillo28@gmail.com,B,7,lp88sdlg,B7_CviMVP_PlDNA_1__SG_1468__2e2613cd
83085971,3f31d197,CviMVP_PlDNA_1_20230315,C7,22,CviMVP_11841,,nicole.mongillo28@gmail.com,C,7,nqt7b0qv,C7_CviMVP_PlDNA_1__SG_1600__f7161c05
ae157d13,3f31d197,CviMVP_PlDNA_1_20230315,D7,18,CviMVP_10843,,nicole.mongillo28@gmail.com,D,7,b5h9amr6,D7_CviMVP_PlDNA_1__SG_1255__9a84394e
c2d3c951,3f31d197,CviMVP_PlDNA_1_20230315,E7,22,CviMVP_12324,,nicole.mongillo28@gmail.com,E,7,vejg8i06,E7_CviMVP_PlDNA_1__SG-sharedLotterhosPuritz_1764__ea467efb
e03b055a,3f31d197,CviMVP_PlDNA_1_20230315,F7,18,CviMVP_10467,,nicole.mongillo28@gmail.com,F,7,cjvk0xx0,F7_CviMVP_PlDNA_1__SG_1111__79a19714
71aed77a,3f31d197,CviMVP_PlDNA_1_20230315,G7,22,CviMVP_11771,,nicole.mongillo28@gmail.com,G,7,n5a5zx1z,G7_CviMVP_PlDNA_1__SG_1575__5d10637a
b107c749,3f31d197,CviMVP_PlDNA_1_20230315,H7,22,CviMVP_12661,,nicole.mongillo28@gmail.com,H,7,eiladwcn,H7_CviMVP_PlDNA_1__SG_1879__18c16562
0b7152ee,3f31d197,CviMVP_PlDNA_1_20230315,A8,21,CviMVP_12300,,nicole.mongillo28@gmail.com,A,8,prbkq8cp,A8_CviMVP_PlDNA_1__SG-sharedLotterhosPuritz_1756__8d5b0131
5693236e,3f31d197,CviMVP_PlDNA_1_20230315,B8,18,CviMVP_11894,,nicole.mongillo28@gmail.com,B,8,9kiw724h,B8_CviMVP_PlDNA_1__SG_1618__409fae3a
74aa1124,3f31d197,CviMVP_PlDNA_1_20230315,C8,18,CviMVP_10828,,nicole.mongillo28@gmail.com,C,8,1ijlu26u,C8_CviMVP_PlDNA_1__SG_1249__ea2bc1d7
4fa38e4b,3f31d197,CviMVP_PlDNA_1_20230315,D8,21,CviMVP_12327,,nicole.mongillo28@gmail.com,D,8,6s68kxsw,D8_CviMVP_PlDNA_1__SG-sharedLotterhosPuritz_1765__64714308
8202354e,3f31d197,CviMVP_PlDNA_1_20230315,E8,19,CviMVP_11196,,nicole.mongillo28@gmail.com,E,8,8qvkiuwd,E8_CviMVP_PlDNA_1__SG_1376__66a62dfd
7112a300,3f31d197,CviMVP_PlDNA_1_20230315,F8,18,CviMVP_11835,,nicole.mongillo28@gmail.com,F,8,w3fxxo0c,F8_CviMVP_PlDNA_1__SG_1598__f41672fb
a67970d4,3f31d197,CviMVP_PlDNA_1_20230315,G8,18,CviMVP_12646,,nicole.mongillo28@gmail.com,G,8,nm6rk8vi,G8_CviMVP_PlDNA_1__SG_1874__7a55697c
dd2c08c0,3f31d197,CviMVP_PlDNA_1_20230315,H8,19,CviMVP_11417,,nicole.mongillo28@gmail.com,H,8,pyv4xq85,H8_CviMVP_PlDNA_1__SG_1455__e05c4f6d
f1a537fe,3f31d197,CviMVP_PlDNA_1_20230315,A9,20,CviMVP_12330,,nicole.mongillo28@gmail.com,A,9,paqotahm,A9_CviMVP_PlDNA_1__SG-sharedLotterhosPuritz_1766__b03cf183
f805cd16,3f31d197,CviMVP_PlDNA_1_20230315,B9,18,CviMVP_10796,,nicole.mongillo28@gmail.com,B,9,u15nfdb5,B9_CviMVP_PlDNA_1__SG_1238__3f7ed135
3e5671c3,3f31d197,CviMVP_PlDNA_1_20230315,C9,18,CviMVP_11768,,nicole.mongillo28@gmail.com,C,9,opwqr214,C9_CviMVP_PlDNA_1__SG_1574__143671d4
71bba4d2,3f31d197,CviMVP_PlDNA_1_20230315,D9,20,CviMVP_11434,,nicole.mongillo28@gmail.com,D,9,diqz7kgw,D9_CviMVP_PlDNA_1__SG_1461__0baeb3eb
c371cbad,3f31d197,CviMVP_PlDNA_1_20230315,E9,22,CviMVP_12315,,nicole.mongillo28@gmail.com,E,9,craafpfr,E9_CviMVP_PlDNA_1__SG-sharedLotterhosPuritz_1761__50f9589f
0abac811,3f31d197,CviMVP_PlDNA_1_20230315,F9,21,CviMVP_10816,,nicole.mongillo28@gmail.com,F,9,rqgqqm8j,F9_CviMVP_PlDNA_1__SG_1245__5b85a925
c20e2228,3f31d197,CviMVP_PlDNA_1_20230315,G9,20,CviMVP_12631,"Tissue dropped on counter, cleaned w ethanol",nicole.mongillo28@gmail.com,G,9,lz9txqyz,G9_CviMVP_PlDNA_1__SG_1869__68d9f8dc
