qPCR_plate,short_label,cq_well_position,clean_ID
qpcr_pl1,A3_PlDNA9,A03,A3_CviMVP_PlDNA_9_SG_1897_a4e3658f
qpcr_pl1,B3_PlDNA9,B03,B3_CviMVP_PlDNA_9_SG_2073_c2b8621b
qpcr_pl1,C3_PlDNA9,C03,C3_CviMVP_PlDNA_9_SG_2065_727d1736
qpcr_pl1,D3_PlDNA9,D03,D3_CviMVP_PlDNA_9_SG_1230_2ae16b20
qpcr_pl1,E3_PlDNA9,E03,
qpcr_pl1,F3_PlDNA9,F03,F3_CviMVP_PlDNA_9_SG_2099_8f119d72
qpcr_pl1,G3_PlDNA9,G03,G3_CviMVP_PlDNA_9_SG_2095_d4b38e21
qpcr_pl1,H3_PlDNA9,H03,H3_CviMVP_PlDNA_9_SG_1933_203e3d9f
qpcr_pl1,A3_PlDNA9,A04,A3_CviMVP_PlDNA_9_SG_1897_a4e3658f
qpcr_pl1,B3_PlDNA9,B04,B3_CviMVP_PlDNA_9_SG_2073_c2b8621b
qpcr_pl1,C3_PlDNA9,C04,C3_CviMVP_PlDNA_9_SG_2065_727d1736
qpcr_pl1,D3_PlDNA9,D04,D3_CviMVP_PlDNA_9_SG_1230_2ae16b20
qpcr_pl1,E3_PlDNA9,E04,
qpcr_pl1,F3_PlDNA9,F04,F3_CviMVP_PlDNA_9_SG_2099_8f119d72
qpcr_pl1,G3_PlDNA9,G04,G3_CviMVP_PlDNA_9_SG_2095_d4b38e21
qpcr_pl1,H3_PlDNA9,H04,H3_CviMVP_PlDNA_9_SG_1933_203e3d9f
qpcr_pl1,A4_PlDNA9,A05,A4_CviMVP_PlDNA_9_SG_1228_f84802b3
qpcr_pl1,B4_PlDNA9,B05,B4_CviMVP_PlDNA_9_SG.sharedLotterhosPuritz_1770_5603bc09
qpcr_pl1,C4_PlDNA9,C05,C4_CviMVP_PlDNA_9_SG_1149_75628f53
qpcr_pl1,D4_PlDNA9,D05,D4_CviMVP_PlDNA_9_SG_2005_7864d4b8
qpcr_pl1,E4_PlDNA9,E05,E4_CviMVP_PlDNA_9_SG_1595_bc82001d
qpcr_pl1,F4_PlDNA9,F05,F4_CviMVP_PlDNA_9_SG_2086_90eb25bf
qpcr_pl1,G4_PlDNA9,G05,G4_CviMVP_PlDNA_9_SG_1904_a0ecfc23
qpcr_pl1,H4_PlDNA9,H05,H4_CviMVP_PlDNA_9_SG_2026_d4e67cae
qpcr_pl1,A4_PlDNA9,A06,A4_CviMVP_PlDNA_9_SG_1228_f84802b3
qpcr_pl1,B4_PlDNA9,B06,B4_CviMVP_PlDNA_9_SG.sharedLotterhosPuritz_1770_5603bc09
qpcr_pl1,C4_PlDNA9,C06,C4_CviMVP_PlDNA_9_SG_1149_75628f53
qpcr_pl1,D4_PlDNA9,D06,D4_CviMVP_PlDNA_9_SG_2005_7864d4b8
qpcr_pl1,E4_PlDNA9,E06,E4_CviMVP_PlDNA_9_SG_1595_bc82001d
qpcr_pl1,F4_PlDNA9,F06,F4_CviMVP_PlDNA_9_SG_2086_90eb25bf
qpcr_pl1,G4_PlDNA9,G06,G4_CviMVP_PlDNA_9_SG_1904_a0ecfc23
qpcr_pl1,H4_PlDNA9,H06,H4_CviMVP_PlDNA_9_SG_2026_d4e67cae
qpcr_pl1,A5_PlDNA9,A07,A5_CviMVP_PlDNA_9_SG_2051_8fd6c592
qpcr_pl1,B5_PlDNA9,B07,B5_CviMVP_PlDNA_9_SG_1315_bbdc8fb5
qpcr_pl1,C5_PlDNA9,C07,C5_CviMVP_PlDNA_9_SG_1323_be0b8284
qpcr_pl1,D5_PlDNA9,D07,
qpcr_pl1,E5_PlDNA9,E07,
qpcr_pl1,F5_PlDNA9,F07,F5_CviMVP_PlDNA_9_SG.sharedLotterhosPuritz_1507_bc4a0c29
qpcr_pl1,G5_PlDNA9,G07,G5_CviMVP_PlDNA_9_SG_2076_10d3cadc
qpcr_pl1,H5_PlDNA9,H07,
qpcr_pl1,A5_PlDNA9,A08,A5_CviMVP_PlDNA_9_SG_2051_8fd6c592
qpcr_pl1,B5_PlDNA9,B08,B5_CviMVP_PlDNA_9_SG_1315_bbdc8fb5
qpcr_pl1,C5_PlDNA9,C08,C5_CviMVP_PlDNA_9_SG_1323_be0b8284
qpcr_pl1,D5_PlDNA9,D08,
qpcr_pl1,E5_PlDNA9,E08,
qpcr_pl1,F5_PlDNA9,F08,F5_CviMVP_PlDNA_9_SG.sharedLotterhosPuritz_1507_bc4a0c29
qpcr_pl1,G5_PlDNA9,G08,G5_CviMVP_PlDNA_9_SG_2076_10d3cadc
qpcr_pl1,H5_PlDNA9,H08,
qpcr_pl1,A6_PlDNA9,A09,A6_CviMVP_PlDNA_9_SG_2061_4151017c
qpcr_pl1,B6_PlDNA9,B09,B6_CviMVP_PlDNA_9_SG_1975_b2a7e292
qpcr_pl1,C6_PlDNA9,C09,C6_CviMVP_PlDNA_9_SG_2012_f47e7f81
qpcr_pl1,D6_PlDNA9,D09,D6_CviMVP_PlDNA_9_SG_1174_ee66e4d4
qpcr_pl1,E6_PlDNA9,E09,
qpcr_pl1,F6_PlDNA9,F09,
qpcr_pl1,G6_PlDNA9,G09,G6_CviMVP_PlDNA_9_SG_1632_a51500b0
qpcr_pl1,H6_PlDNA9,H09,H6_CviMVP_PlDNA_9_SG_1997_cb99d215
qpcr_pl1,A6_PlDNA9,A10,A6_CviMVP_PlDNA_9_SG_2061_4151017c
qpcr_pl1,B6_PlDNA9,B10,B6_CviMVP_PlDNA_9_SG_1975_b2a7e292
qpcr_pl1,C6_PlDNA9,C10,C6_CviMVP_PlDNA_9_SG_2012_f47e7f81
qpcr_pl1,D6_PlDNA9,D10,D6_CviMVP_PlDNA_9_SG_1174_ee66e4d4
qpcr_pl1,E6_PlDNA9,E10,
qpcr_pl1,F6_PlDNA9,F10,
qpcr_pl1,G6_PlDNA9,G10,G6_CviMVP_PlDNA_9_SG_1632_a51500b0
qpcr_pl1,H6_PlDNA9,H10,H6_CviMVP_PlDNA_9_SG_1997_cb99d215
qpcr_pl1,A7_PlDNA9,A11,A7_CviMVP_PlDNA_9_SG_1989_45751c77
qpcr_pl1,B7_PlDNA9,B11,B7_CviMVP_PlDNA_9_SG_1941_5582645b
qpcr_pl1,C7_PlDNA9,C11,
qpcr_pl1,D7_PlDNA9,D11,
qpcr_pl1,A7_PlDNA9,A11,A7_CviMVP_PlDNA_9_SG_1989_45751c77
qpcr_pl1,B7_PlDNA9,B12,B7_CviMVP_PlDNA_9_SG_1941_5582645b
qpcr_pl1,C7_PlDNA9,C12,
qpcr_pl1,D7_PlDNA9,D12,
qpcr_pl2,A3_PlDNA10,A03,A3_CviMVP_PlDNA_10_SG_2036_b141fc51
qpcr_pl2,B3_PlDNA10,B03,B3_CviMVP_PlDNA_10_SG_2071_b4afd129
qpcr_pl2,C3_PlDNA10,C03,C3_CviMVP_PlDNA_10_SG_2058_1f9da7a1
qpcr_pl2,D3_PlDNA10,D03,D3_CviMVP_PlDNA_10_SG_1117_78a75902
qpcr_pl2,E3_PlDNA10,E03,E3_CviMVP_PlDNA_10_SG_1367_848f0492
qpcr_pl2,F3_PlDNA10,F03,F3_CviMVP_PlDNA_10_SG.sharedLotterhosPuritz_1724_dfa791d5
qpcr_pl2,G3_PlDNA10,G03,G3_CviMVP_PlDNA_10_SG_1067_8d996fb4
qpcr_pl2,H3_PlDNA10,H03,H3_CviMVP_PlDNA_10_SG_1621_537d3b67
qpcr_pl2,A3_PlDNA10,A04,A3_CviMVP_PlDNA_10_SG_2036_b141fc51
qpcr_pl2,B3_PlDNA10,B04,B3_CviMVP_PlDNA_10_SG_2071_b4afd129
qpcr_pl2,C3_PlDNA10,C04,C3_CviMVP_PlDNA_10_SG_2058_1f9da7a1
qpcr_pl2,D3_PlDNA10,D04,D3_CviMVP_PlDNA_10_SG_1117_78a75902
qpcr_pl2,E3_PlDNA10,E04,E3_CviMVP_PlDNA_10_SG_1367_848f0492
qpcr_pl2,F3_PlDNA10,F04,F3_CviMVP_PlDNA_10_SG.sharedLotterhosPuritz_1724_dfa791d5
qpcr_pl2,G3_PlDNA10,G04,G3_CviMVP_PlDNA_10_SG_1067_8d996fb4
qpcr_pl2,H3_PlDNA10,H04,H3_CviMVP_PlDNA_10_SG_1621_537d3b67
qpcr_pl2,A4_PlDNA10,A05,A4_CviMVP_PlDNA_10_SG_1556_e491b857
qpcr_pl2,B4_PlDNA10,B05,B4_CviMVP_PlDNA_10_SG.sharedLotterhosPuritz_3054_b35976e5
qpcr_pl2,C4_PlDNA10,C05,C4_CviMVP_PlDNA_10_SG_1681_f4ee8856
qpcr_pl2,D4_PlDNA10,D05,D4_CviMVP_PlDNA_10_SG_2022_fe5dd5e1
qpcr_pl2,E4_PlDNA10,E05,E4_CviMVP_PlDNA_10_SG_2024_45ef0038
qpcr_pl2,F4_PlDNA10,F05,F4_CviMVP_PlDNA_10_SG_1417_d4db5fe7
qpcr_pl2,G4_PlDNA10,G05,G4_CviMVP_PlDNA_10_SG_1333_3ba1aeca
qpcr_pl2,H4_PlDNA10,H05,H4_CviMVP_PlDNA_10_SG_2075_7ce89a58
qpcr_pl2,A4_PlDNA10,A06,A4_CviMVP_PlDNA_10_SG_1556_e491b857
qpcr_pl2,B4_PlDNA10,B06,B4_CviMVP_PlDNA_10_SG.sharedLotterhosPuritz_3054_b35976e5
qpcr_pl2,C4_PlDNA10,C06,C4_CviMVP_PlDNA_10_SG_1681_f4ee8856
qpcr_pl2,D4_PlDNA10,D06,D4_CviMVP_PlDNA_10_SG_2022_fe5dd5e1
qpcr_pl2,E4_PlDNA10,E06,E4_CviMVP_PlDNA_10_SG_2024_45ef0038
qpcr_pl2,F4_PlDNA10,F06,F4_CviMVP_PlDNA_10_SG_1417_d4db5fe7
qpcr_pl2,G4_PlDNA10,G06,G4_CviMVP_PlDNA_10_SG_1333_3ba1aeca
qpcr_pl2,H4_PlDNA10,H06,H4_CviMVP_PlDNA_10_SG_2075_7ce89a58
qpcr_pl2,A5_PlDNA10,A07,A5_CviMVP_PlDNA_10_SG_2053_a99d49c4
qpcr_pl2,B5_PlDNA10,B07,B5_CviMVP_PlDNA_10_SG_1158_3bbb4b81
qpcr_pl2,C5_PlDNA10,C07,C5_CviMVP_PlDNA_10_SG_1888_a831e64b
qpcr_pl2,D5_PlDNA10,D07,D5_CviMVP_PlDNA_10_SG_2025_5bd16ce4
qpcr_pl2,E5_PlDNA10,E07,E5_CviMVP_PlDNA_10_SG_1456_68650f46
qpcr_pl2,F5_PlDNA10,F07,F5_CviMVP_PlDNA_10_SG_2094_02a78116
qpcr_pl2,G5_PlDNA10,G07,G5_CviMVP_PlDNA_10_SG_1466_596c2168
qpcr_pl2,H5_PlDNA10,H07,H5_CviMVP_PlDNA_10_SG_2078_b8a33fcd
qpcr_pl2,A5_PlDNA10,A08,A5_CviMVP_PlDNA_10_SG_2053_a99d49c4
qpcr_pl2,B5_PlDNA10,B08,B5_CviMVP_PlDNA_10_SG_1158_3bbb4b81
qpcr_pl2,C5_PlDNA10,C08,C5_CviMVP_PlDNA_10_SG_1888_a831e64b
qpcr_pl2,D5_PlDNA10,D08,D5_CviMVP_PlDNA_10_SG_2025_5bd16ce4
qpcr_pl2,E5_PlDNA10,E08,E5_CviMVP_PlDNA_10_SG_1456_68650f46
qpcr_pl2,F5_PlDNA10,F08,F5_CviMVP_PlDNA_10_SG_2094_02a78116
qpcr_pl2,G5_PlDNA10,G08,G5_CviMVP_PlDNA_10_SG_1466_596c2168
qpcr_pl2,H5_PlDNA10,H08,H5_CviMVP_PlDNA_10_SG_2078_b8a33fcd
qpcr_pl2,A6_PlDNA10,A09,A6_CviMVP_PlDNA_10_SG.sharedLotterhosPuritz_1743_a99589c6
qpcr_pl2,B6_PlDNA10,B09,B6_CviMVP_PlDNA_10_SG_1834_e5dca67e
qpcr_pl2,C6_PlDNA10,C09,C6_CviMVP_PlDNA_10_SG_1188_d3bbc7d3
qpcr_pl2,D6_PlDNA10,D09,D6_CviMVP_PlDNA_10_SG_2067_ad481849
qpcr_pl2,E6_PlDNA10,E09,E6_CviMVP_PlDNA_10_SG_1449_a339503d
qpcr_pl2,F6_PlDNA10,F09,F6_CviMVP_PlDNA_10_SG_2047_b1ff69b8
qpcr_pl2,G6_PlDNA10,G09,G6_CviMVP_PlDNA_10_SG_1042_f25060f5
qpcr_pl2,H6_PlDNA10,H09,H6_CviMVP_PlDNA_10_SG_2063_47fa25a7
qpcr_pl2,A6_PlDNA10,A10,A6_CviMVP_PlDNA_10_SG.sharedLotterhosPuritz_1743_a99589c6
