ID_SiteDate,download_date_sal,source_description_sal,lat_sal,lon_sal,firstyear_sal,finalyear_sal,Mean_Annual_Salinity_ppt,Mean_max_Salinity_ppt,Mean_min_Salinity_ppt,Salinity_st_dev,Salinity_n,Salinity_years,salinity_quantile_10,salinity_quantile_90,collection_type_sal,download_date_temp,source_description_temp,lat_temp,lon_temp,firstyear_temp,finalyear_temp,Mean_Annual_Temperature_C,Mean_max_temperature_C,Mean_min_temperature_C,Temperature_st_dev,Temperature_n,Temperature_years,temp_quantile_10,temp_quantile_90,collection_type_temp,site_name
CPR_MS_AL_2022-8-24,7/11/23,NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ,30.3486,-88.4185,2005,2022,21.9349343,31.07894737,7.878947368,5.756667062,468737,19,14,28.8,continuous,7/11/23,NERR Centralized Data. Grand Bay - Point Aux Chenes Bay GNDPCWQ,30.3486,-88.4185,2005,2022,22.45369386,33.36315789,6.726315789,6.895611896,468737,19,12.8,30.6,continuous,AL1
SaltBay_Canada_2022-9-27,3/25/24,Nova Scotia Gov Water Quality Data,43.79075,-65.83619,2020,2021,26.91323539,31.73333333,17.3,3.494291949,104893,3,21.3,30.5,continuous,3/25/24,Nova Scotia Gov Water Quality Data,43.79075,-65.83619,2020,2021,11.84027107,23.37,0.815,6.958722129,56628,2,1.81,20.34,continuous,CN1
AC_LIS_CT_2023-10-3,3/27/24,"USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,13.74925073,28.75,0.5,9.614096708,60726,4,1.1,27,continuous,3/27/24,"USGS Water Data  - Housatonic River NR Nells Island NR Stratford, CT - 01208837",41.1884333,-73.12125278,2020,2023,17.28614267,26.6,7.125,7.27605337,60726,4,4.5,24.4,continuous,CT1
IL_ApBay_FL_2023-10-3,3/20/24,NERR Centralized Data. Apalachicola Bay - Dry Bar APADBWQ,29.6747,-85.0583,2002,2023,21.33549094,36.23478261,1.87826087,8.119103109,601948,23,9.7,31.6,continuous,3/20/24,NERR Centralized Data. Apalachicola Bay - Dry Bar APADBWQ,29.6747,-85.0583,2002,2023,22.76206101,32.55652174,7.77826087,6.264802699,601948,23,13.9,30.3,continuous,FL1
EC_ApBay_FL_2023-10-4,3/20/24,NERR Centralized Data. Apalachicola Bay - Cat Point APACPWQ,29.7021,-84.8802,2002,2023,21.42344243,34.74347826,1.895652174,7.928732351,635220,23,10.1,31.2,continuous,3/20/24,NERR Centralized Data. Apalachicola Bay - Cat Point APACPWQ,29.7021,-84.8802,2002,2023,22.92667989,32.4,9.282608696,6.22572743,635220,23,14.1,30.4,continuous,FL2
KP_FGR_FL_2022-8-23,9/13/23,National Parks Service Continuous Water Data - Timucuan Preserve,30.44116,-81.43908,2005,2022,32.35225365,37.20420518,15.42244418,3.715396855,249752,20,27.85066428,35.97585067,continuous,9/13/23,National Parks Service Continuous Water Data - Timucuan Preserve,30.44116,-81.43908,2005,2022,22.1556673,30.6387,10.38665,5.707664316,258086,20,14.559,29.279,continuous,FL3
Sapelo_Is_GA_2022-7-17,7/11/23,NERR Centralized Data. Sapelo Island - Lower Duplin SAPLDWQ,31.41794,-81.29605,1999,2022,26.95660344,35.352,6.128,4.596149854,639023,25,20.8,32.2,continuous,7/11/23,NERR Centralized Data. Sapelo Island - Lower Duplin SAPLDWQ,31.41794,-81.29605,1999,2022,21.43557384,31.676,8.624,6.635617152,639023,25,12.4,29.7,continuous,GA1
Mer_GA_2022-7-26,3/19/24,USGS Water Data Meridian Landing - 022035975,31.45333333,-81.3627778,2007,2022,24.11886211,31.6875,11.45625,5.358950634,495777,16,17,31,continuous,3/19/24,USGS Water Data Meridian Landing - 022035975,31.45333333,-81.3627778,2007,2022,21.84500814,33.025,8.15,6.618344122,495777,16,12.8,30,continuous,GA2
SkR_GA_2022-6-14,4/18/24,Biological and Chemical Oceanography Data Management Office,31.9863317,-81.0052642,2013,2015,26.15427864,30.71770026,1.958482138,3.902788916,302091,3,21.53821623,29.82,continuous,4/18/24,Biological and Chemical Oceanography Data Management Office,31.9863317,-81.0052642,2013,2015,21.2232698,29.75566667,6.719666667,7.514125596,302091,3,11.056,30.054,continuous,GA3
FP_Sav_GA_2022-6-10,3/20/24,National Parks Service Continuous Water Data - Fort Pulaski NM - Lazaretto Creek Dock,32.01414,-80.88412,2006,2022,23.10241328,33.33755517,9.56854204,4.642879576,234596,18,16.8518396,28.69560821,continuous,3/20/24,National Parks Service Continuous Water Data - Fort Pulaski NM - Lazaretto Creek Dock,32.01414,-80.88412,2006,2022,20.85897517,30.44470401,8.338666667,6.761183644,242645,18,11.88,29.48,continuous,GA4
